feature,# including files,prod,prod non-factory
total,90,55,47
profiles,10,8,8
dice,7,3,3
sync,7,1,1
settings,4,4,4
signin,6,5,4
chrome/browser/ui/webui/signin,4,3,3
chrome/browser/extensions/api/identity,4,3,3
chrome/browser/android/signin,3,3,3
account_fetcher,5,3,1
ios/chrome/browser/ui/authentication,2,2,2
safe_browsing,2,1,1
authentication_service,4,2,1
chrome/browser/chromeos/login,3,1,1
supervised_user,3,3,2
about_signin,3,3,1
signin_ui_util,2,1,1
browser_state,2,2,2
signin_tracker,1,0,0
signin_promo,1,1,1
webui,1,1,1
ios/web_view/internal/signin,2,2,1
child_account_info,2,2,2
autocomplete,1,0,0
ios/chrome/test/app,1,0,0
chrome/browser/ui,1,0,0
account_reconcilor,1,0,0
components/search_provider_logos,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
desktop_ios_promotion,1,0,0
policy,1,0,0
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
