feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/autofill/personal_data_manager_factory.cc,-4,-4,0,Completed
chrome/browser/chromeos/cryptauth/chrome_cryptauth_service.cc,4,4,4,New
chrome/browser/chromeos/cryptauth/chrome_cryptauth_service.h,1,1,1,New
chrome/browser/chromeos/cryptauth/chrome_cryptauth_service_factory.cc,2,2,0,New
chrome/browser/chromeos/login/easy_unlock/chrome_proximity_auth_client.cc,4,4,4,New
chrome/browser/chromeos/login/easy_unlock/easy_unlock_service.cc,4,4,4,New
chrome/browser/chromeos/login/easy_unlock/easy_unlock_service_regular.cc,4,4,4,New
chrome/browser/chromeos/login/easy_unlock/easy_unlock_service_unittest_chromeos.cc,2,0,0,New
chrome/browser/chromeos/login/session/chrome_session_manager.cc,-2,-2,-2,Completed
chrome/browser/cryptauth/chrome_cryptauth_service.cc,-4,-4,-4,Completed
chrome/browser/cryptauth/chrome_cryptauth_service.h,-1,-1,-1,Completed
chrome/browser/cryptauth/chrome_cryptauth_service_factory.cc,-2,-2,0,Completed
chrome/browser/download/notification/download_notification_browsertest.cc,-2,0,0,Completed
chrome/browser/download/notification/download_notification_interactive_uitest.cc,2,0,0,New
chrome/browser/extensions/api/identity/identity_api.cc,-3,-3,-3,Completed
chrome/browser/extensions/api/identity/identity_api.h,1,1,1,New
chrome/browser/permissions/permission_uma_util_unittest.cc,-2,0,0,Completed
chrome/browser/safe_browsing/permission_reporter_browsertest.cc,-2,0,0,Completed
chrome/browser/signin/chrome_proximity_auth_client.cc,-4,-4,-4,Completed
chrome/browser/signin/easy_unlock_service.cc,-4,-4,-4,Completed
chrome/browser/signin/easy_unlock_service_regular.cc,-4,-4,-4,Completed
chrome/browser/signin/easy_unlock_service_unittest_chromeos.cc,-2,0,0,Completed
chrome/browser/signin/signin_ui_util_unittest.cc,7,0,0,New
chrome/browser/sync/chrome_sync_client.cc,-2,-2,-2,Completed
chrome/browser/sync/test/integration/fake_server_invalidation_service.h,-1,0,0,Completed
chrome/browser/sync/test/integration/profile_sync_service_harness.cc,-3,0,0,Completed
chrome/browser/sync/test/integration/sync_test.cc,-3,0,0,Completed
chrome/browser/ui/autofill/chrome_autofill_client.cc,-2,-2,-2,Completed
chrome/browser/ui/cocoa/profiles/profile_chooser_controller.mm,-5,-5,-5,Completed
chrome/browser/ui/cocoa/profiles/profile_chooser_controller_unittest.mm,-7,0,0,Completed
chrome/browser/ui/views/payments/cvc_unmask_view_controller.cc,-3,-3,-3,Completed
components/autofill/core/browser/autofill_metrics_unittest.cc,-3,0,0,Completed
components/autofill/core/browser/autofill_test_utils.cc,-1,0,0,Completed
components/autofill/core/browser/form_data_importer_unittest.cc,-3,0,0,Completed
components/autofill/core/browser/personal_data_manager.cc,-2,-2,-2,Completed
components/autofill/core/browser/personal_data_manager_unittest.cc,-3,0,0,Completed
components/browser_sync/profile_sync_service_typed_url_unittest.cc,-1,0,0,Completed
components/invalidation/impl/fake_invalidation_service.h,-1,0,0,Completed
components/signin/core/browser/signin_cookie_change_subscription.h,1,1,1,New
components/signin/core/browser/signin_cookie_changed_subscription.h,-1,-1,-1,Completed
components/sync/driver/about_sync_util.cc,-1,-1,-1,Completed
components/sync/driver/glue/sync_backend_host_impl.cc,-1,-1,-1,Completed
components/sync/driver/sync_service_base.cc,1,1,1,New
ios/chrome/browser/autofill/autofill_controller.mm,-2,-2,-2,Completed
ios/chrome/browser/autofill/personal_data_manager_factory.cc,-2,-2,0,Completed
ios/chrome/browser/sync/ios_chrome_sync_client.mm,-1,-1,-1,Completed
ios/web_view/internal/autofill/cwv_autofill_controller.mm,-1,-1,-1,Completed
total,-52,-29,-23,New
