feature,# including files,prod,prod non-factory
total,126,79,53
supervised_user,12,7,5
policy,9,6,4
sync,11,4,2
dice,6,2,2
chrome/browser/chromeos/login,5,3,2
webui,4,2,2
chrome/browser/extensions/api/identity,4,3,3
profiles,5,4,4
extensions,5,3,2
account_fetcher,5,3,0
signin,7,5,3
signin_tracker,3,2,1
easy_unlock,3,3,3
arc/auth,3,2,2
chrome/browser/ui/webui/signin,2,1,1
account_reconcilor,3,2,1
invalidation,3,2,1
signin_ui_util,2,1,1
authentication_service,2,1,1
settings,4,3,3
chrome/browser/chromeos,1,0,0
desktop_ios_promotion,2,1,0
cryptauth,2,2,1
feedback,1,1,1
drive_backend,1,1,1
gcm,2,1,0
drive,1,1,1
autocomplete,1,1,0
about_signin,2,2,1
ios/web_view/internal/signin,2,2,1
signin_global_error,1,0,0
safe_browsing,1,0,0
chrome/browser/android/signin,1,1,1
history,2,2,0
force_signin,1,1,1
components/search_provider_logos,1,0,0
ios/chrome/browser/ui/authentication,1,1,1
signin_error_notifier,1,1,0
toolbar,1,0,0
chrome/test/base,1,0,0
profile_identity_provider,1,1,1
gaia_cookie_manager,1,1,0
