file,# inclusions
chrome/browser/chromeos/extensions/file_manager/private_api_drive.cc,2
chrome/browser/chromeos/extensions/file_manager/private_api_misc.cc,2
chrome/browser/extensions/api/enterprise_platform_keys/enterprise_platform_keys_api_unittest.cc,2
chrome/browser/extensions/api/enterprise_platform_keys_private/enterprise_platform_keys_private_api.cc,2
chrome/browser/extensions/api/enterprise_platform_keys_private/enterprise_platform_keys_private_api_unittest.cc,2
chrome/browser/extensions/api/feedback_private/chrome_feedback_private_delegate.cc,2
chrome/browser/extensions/api/screenlock_private/screenlock_private_apitest.cc,2
chrome/browser/extensions/api/signed_in_devices/signed_in_devices_manager_unittest.cc,2
chrome/browser/extensions/api/sync_file_system/sync_file_system_browsertest.cc,1
chrome/browser/extensions/api/webstore_private/webstore_private_api.cc,2
chrome/browser/extensions/extension_gcm_app_handler_unittest.cc,2
chrome/browser/extensions/extension_system_factory.cc,1
chrome/browser/extensions/external_component_loader.cc,2
chrome/browser/extensions/external_provider_impl_chromeos_unittest.cc,2
chrome/browser/extensions/updater/chrome_extension_downloader_factory.cc,2
total,28
