feature,# inclusions,from prod,from prod non-factory
total,457,297,244
sync,38,20,16
extensions,28,15,12
webui,27,19,18
settings,27,17,17
supervised_user,25,23,20
policy,22,9,6
profiles,21,17,16
chrome/browser/ui/webui/signin,19,9,8
chrome/browser/chromeos/login,13,11,10
bookmarks,11,4,4
dice,10,4,4
chrome/browser/ui,9,5,5
autocomplete,8,6,4
easy_unlock,8,6,6
password_manager,8,6,5
first_run,8,6,6
payments,8,4,4
signin,7,7,3
account_reconcilor,6,4,2
gcm,6,4,0
desktop_ios_promotion,6,3,1
chrome/browser,6,4,4
safe_browsing,6,2,2
toolbar,6,4,4
authentication_service,6,2,1
signin_status_metrics_provider,6,6,6
chrome/browser/extensions/api/identity,5,2,2
signin_tracker,5,2,1
about_signin,5,5,2
signin_global_error,5,2,2
invalidation,5,5,1
signin_promo,4,4,4
ios/chrome/browser/ui/signin_interaction,4,2,2
account_investigator,4,3,1
ios/chrome/browser/ui,4,2,2
signin_ui_util,4,2,2
ios/chrome/browser/ui/authentication,4,4,4
arc/auth,4,2,2
search,4,2,2
cryptauth,4,4,3
drive_backend,3,3,3
browser_state,3,3,3
ios/web_view/internal/signin,3,3,1
signin_error_notifier,3,0,0
chrome/browser/android/signin,3,3,3
account_consistency,3,2,1
feedback,2,2,2
force_signin,2,2,2
startup,2,2,2
drive,2,2,2
autofill,2,2,0
cloud_print,2,2,2
ios/chrome/browser/passwords,2,2,2
download,2,0,0
ios/chrome/app,2,2,2
chrome/browser/chromeos,2,0,0
metrics,2,0,0
chrome/test/base,2,0,0
chrome/browser/android,2,2,0
history,2,2,0
ios/web_view/internal/app,1,1,1
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/prefs,1,1,1
profile_identity_provider,1,1,1
