feature,# including files,prod,prod non-factory
total,353,248,194
sync,26,14,12
profiles,18,14,13
supervised_user,20,14,10
webui,18,15,14
policy,15,8,6
settings,15,11,11
chrome/browser/chromeos/login,15,10,8
dice,8,4,4
chrome/browser/ui/webui/signin,11,7,6
signin,18,14,10
extensions,15,8,6
chrome/browser/extensions/api/identity,5,4,4
account_reconcilor,8,6,4
about_signin,4,4,2
signin_tracker,4,3,2
signin_ui_util,2,1,1
authentication_service,4,2,1
account_fetcher,6,4,1
safe_browsing,2,1,1
easy_unlock,4,3,3
desktop_ios_promotion,5,3,2
chrome/browser/ui,7,5,5
autocomplete,4,3,2
bookmarks,5,2,2
ios/web_view/internal/signin,8,8,2
chrome/browser/android/signin,4,4,4
signin_global_error,4,3,2
browser_state,2,2,2
arc/auth,3,2,2
search,6,3,2
account_investigator,4,3,2
ios/chrome/browser/ui/authentication,3,3,3
invalidation,4,3,1
account_consistency,4,3,2
first_run,4,3,3
gcm,3,2,0
password_manager,5,4,3
chrome/browser,3,2,2
signin_error_notifier,3,2,1
chrome/test/base,1,0,0
payments,4,2,2
signin_promo,2,2,2
toolbar,4,2,2
cryptauth,3,3,2
signin_status_metrics_provider,5,5,5
drive_backend,2,2,2
chrome/browser/chromeos,2,0,0
components/search_provider_logos,2,1,1
feedback,1,1,1
drive,1,1,1
ios/chrome/browser/ui/signin_interaction,2,1,1
ios/chrome/browser/ui,2,1,1
history,2,2,0
force_signin,1,1,1
child_account_info,2,2,2
startup,1,1,1
autofill,2,2,0
cloud_print,1,1,1
ios/chrome/browser/passwords,1,1,1
download,1,0,0
ios/chrome/app,1,1,1
chrome/browser/android,1,1,0
metrics,1,0,0
profile_identity_provider,2,2,2
gaia_cookie_manager,1,1,0
ios/chrome/test/app,1,0,0
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/search_provider_logos,1,1,0
