file,# inclusions
total,967
components/signin/core/browser/signin_manager.h,179
chrome/browser/signin/signin_manager_factory.h,166
components/signin/core/browser/profile_oauth2_token_service.h,82
chrome/browser/signin/profile_oauth2_token_service_factory.h,81
components/signin/core/browser/account_tracker_service.h,67
chrome/browser/signin/account_tracker_service_factory.h,44
ios/chrome/browser/signin/signin_manager_factory.h,37
components/signin/core/browser/signin_manager_base.h,35
components/signin/core/browser/signin_error_controller.h,27
chrome/browser/signin/signin_error_controller_factory.h,25
chrome/browser/signin/chrome_signin_client_factory.h,24
components/signin/core/browser/gaia_cookie_manager_service.h,23
components/signin/core/browser/fake_profile_oauth2_token_service.h,23
chrome/browser/signin/fake_signin_manager_builder.h,23
chrome/browser/signin/gaia_cookie_manager_service_factory.h,22
components/signin/core/browser/signin_client.h,18
components/signin/core/browser/test_signin_client.h,16
chrome/browser/signin/fake_profile_oauth2_token_service_builder.h,15
ios/chrome/browser/signin/account_tracker_service_factory.h,14
components/signin/core/browser/fake_signin_manager.h,14
components/signin/core/browser/fake_gaia_cookie_manager_service.h,7
ios/chrome/browser/signin/gaia_cookie_manager_service_factory.h,6
ios/chrome/browser/signin/signin_error_controller_factory.h,5
ios/chrome/browser/signin/fake_signin_manager_builder.h,3
chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,3
chrome/browser/signin/chrome_signin_client.h,2
ios/chrome/browser/signin/fake_oauth2_token_service_builder.h,2
ios/chrome/browser/signin/ios_chrome_signin_client.h,2
components/signin/core/browser/signin_internals_util.h,2
