feature,# including files,prod,prod non-factory
total,101,63,54
profiles,11,9,9
dice,7,3,3
settings,6,6,6
chrome/browser/ui/webui/signin,5,4,4
ios/chrome/browser/ui/authentication,4,3,3
sync,6,1,1
signin,7,6,4
chrome/browser/extensions/api/identity,4,3,3
safe_browsing,3,1,1
chrome/browser/android/signin,3,3,3
account_fetcher,5,3,1
authentication_service,4,2,1
chrome/browser/chromeos/login,3,1,1
supervised_user,3,3,2
webui,2,2,2
about_signin,3,3,1
signin_ui_util,2,1,1
browser_state,2,2,2
signin_tracker,1,0,0
signin_promo,1,1,1
autofill,1,1,1
chrome/browser/chromeos,2,1,1
gcm_driver,2,0,0
child_account_info,2,2,2
ios/chrome/test/app,1,0,0
chrome/browser/ui,1,0,0
account_reconcilor,1,0,0
components/search_provider_logos,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
desktop_ios_promotion,1,0,0
ios/web_view/internal/signin,1,1,0
policy,1,0,0
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
