feature,# inclusions,from prod,from prod non-factory
total,140,90,81
profiles,17,13,13
dice,12,6,6
settings,9,9,9
chrome/browser/ui/webui/signin,8,7,7
ios/chrome/browser/ui/authentication,8,6,6
sync,7,1,1
signin,7,6,4
chrome/browser/extensions/api/identity,6,4,4
safe_browsing,6,2,2
chrome/browser/android/signin,6,6,6
account_fetcher,5,3,1
authentication_service,4,2,1
chrome/browser/chromeos/login,4,2,2
supervised_user,3,3,2
webui,3,3,3
about_signin,3,3,1
signin_ui_util,3,2,2
browser_state,3,3,3
signin_tracker,2,0,0
signin_promo,2,2,2
autofill,2,2,2
chrome/browser/chromeos,2,1,1
gcm_driver,2,0,0
child_account_info,2,2,2
ios/chrome/test/app,2,0,0
chrome/browser/ui,2,0,0
account_reconcilor,1,0,0
components/search_provider_logos,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
desktop_ios_promotion,1,0,0
ios/web_view/internal/signin,1,1,0
policy,1,0,0
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
