feature,# including files,prod,prod non-factory
total,140,86,54
policy,9,6,4
supervised_user,10,6,4
sync,9,2,1
dice,6,2,2
extensions,7,4,2
settings,5,3,3
chrome/browser/extensions/api/identity,4,3,3
profiles,5,4,4
chrome/browser/ui/webui/signin,4,3,2
account_fetcher,5,3,0
signin,8,6,4
authentication_service,4,2,1
chrome/browser/chromeos/login,4,3,2
arc/auth,3,2,2
webui,3,1,1
signin_tracker,3,2,1
easy_unlock,3,3,3
invalidation,5,2,0
account_reconcilor,4,3,1
gcm_driver,5,3,3
desktop_ios_promotion,3,1,0
signin_ui_util,2,1,1
gcm,3,2,0
chrome/browser/chromeos,1,0,0
about_signin,3,3,1
cryptauth,2,2,1
drive_backend,1,1,1
drive,1,1,1
ios/chrome/browser/ui/authentication,1,1,1
signin_global_error,1,0,0
metrics,2,2,1
safe_browsing,1,0,0
chrome/browser/android/signin,1,1,1
history,2,2,0
force_signin,1,1,1
components/search_provider_logos,1,0,0
ios/web_view/internal/signin,1,1,0
signin_error_notifier,1,1,0
toolbar,1,0,0
browser_state,1,1,1
chrome/test/base,1,0,0
profile_identity_provider,1,1,1
gaia_cookie_manager,1,1,0
chrome/browser/ui,1,0,0
