feature,# inclusions,from prod,from prod non-factory
total,221,127,89
policy,17,9,6
supervised_user,16,10,8
sync,13,3,2
dice,11,4,4
extensions,11,7,4
settings,10,6,6
chrome/browser/extensions/api/identity,9,6,6
profiles,9,7,7
chrome/browser/ui/webui/signin,8,5,4
account_fetcher,8,5,0
signin,8,6,4
authentication_service,7,2,1
chrome/browser/chromeos/login,7,5,4
arc/auth,6,3,3
webui,6,2,2
signin_tracker,6,2,1
easy_unlock,6,6,6
invalidation,6,3,0
account_reconcilor,5,3,1
gcm_driver,5,3,3
desktop_ios_promotion,5,2,0
signin_ui_util,4,2,2
gcm,3,2,0
chrome/browser/chromeos,3,0,0
about_signin,3,3,1
cryptauth,3,3,2
drive_backend,2,2,2
drive,2,2,2
ios/chrome/browser/ui/authentication,2,2,2
signin_global_error,2,0,0
metrics,2,2,1
safe_browsing,2,0,0
chrome/browser/android/signin,2,2,2
history,2,2,0
force_signin,1,1,1
components/search_provider_logos,1,0,0
ios/web_view/internal/signin,1,1,0
signin_error_notifier,1,1,0
toolbar,1,0,0
browser_state,1,1,1
chrome/test/base,1,0,0
profile_identity_provider,1,1,1
gaia_cookie_manager,1,1,0
chrome/browser/ui,1,0,0
