feature,# inclusions,from prod,from prod non-factory
total,448,284,232
sync,34,14,10
settings,30,17,17
extensions,29,15,12
profiles,24,20,19
policy,22,9,6
chrome/browser/ui/webui/signin,19,11,9
supervised_user,16,14,12
webui,14,8,8
chrome/browser/chromeos/login,13,11,10
bookmarks,11,4,4
dice,10,4,4
safe_browsing,10,4,4
password_manager,9,7,5
chrome/browser/ui,9,5,5
chrome/browser/chromeos,8,4,4
easy_unlock,8,6,6
first_run,8,6,6
payments,8,4,4
signin,7,7,3
account_reconcilor,6,4,2
gcm,6,4,0
desktop_ios_promotion,6,3,1
signin_status_metrics_provider,6,6,6
toolbar,6,4,4
authentication_service,6,2,1
chrome/browser,6,4,4
signin_tracker,5,2,1
chrome/browser/extensions/api/identity,5,2,2
about_signin,5,5,2
signin_global_error,5,2,2
arc/auth,4,2,2
signin_promo,4,4,4
autofill,4,4,2
account_investigator,4,3,1
ios/chrome/browser/ui/signin_interaction,4,2,2
autocomplete,4,4,4
gcm_driver,4,2,2
ios/chrome/browser/ui,4,2,2
signin_ui_util,4,2,2
ios/chrome/browser/ui/authentication,4,4,4
invalidation,4,4,0
search,4,2,2
cryptauth,4,4,3
drive_backend,3,3,3
browser_state,3,3,3
metrics,3,1,1
signin_error_notifier,3,0,0
chrome/browser/android/signin,3,3,3
account_consistency,3,2,1
force_signin,2,2,2
startup,2,2,2
drive,2,2,2
cloud_print,2,2,2
ios/chrome/browser/passwords,2,2,2
ios/chrome/app,2,2,2
chrome/browser/interstitials,2,2,2
ios/web_view/internal/signin,2,2,0
chrome/test/base,2,0,0
chrome/browser/android,2,2,0
history,2,2,0
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/chrome/browser/prefs,1,1,1
chrome/browser/prefs,1,1,1
profile_identity_provider,1,1,1
