feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/autocomplete/contextual_suggestions_service_factory.cc,-4,-4,0,Completed
chrome/browser/autocomplete/search_provider_unittest.cc,-4,0,0,Completed
chrome/browser/chromeos/arc/arc_play_store_enabled_preference_handler.cc,2,2,2,New
chrome/browser/chromeos/arc/arc_play_store_enabled_preference_handler_unittest.cc,2,0,0,New
chrome/browser/chromeos/arc/arc_support_host.cc,2,2,2,New
chrome/browser/chromeos/arc/arc_support_host_unittest.cc,1,0,0,New
chrome/browser/chromeos/arc/optin/arc_terms_of_service_default_negotiator_unittest.cc,1,0,0,New
chrome/browser/chromeos/extensions/file_manager/file_manager_private_apitest.cc,2,0,0,New
chrome/browser/chromeos/file_manager/file_manager_browsertest.cc,-2,0,0,Completed
chrome/browser/chromeos/login/supervised/supervised_user_test_base.cc,-3,0,0,Completed
chrome/browser/chromeos/oauth2_token_service_delegate.cc,1,1,1,New
chrome/browser/chromeos/oauth2_token_service_delegate_unittest.cc,2,0,0,New
chrome/browser/download/notification/download_notification_interactive_uitest.cc,-2,0,0,Completed
chrome/browser/extensions/extension_system_factory.cc,1,1,0,Ongoing
chrome/browser/extensions/updater/chrome_extension_downloader_factory.cc,1,1,0,Ongoing
chrome/browser/feedback/feedback_uploader_chrome.cc,-4,-4,-4,Completed
chrome/browser/interstitials/enterprise_util.cc,2,2,2,New
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service.cc,1,1,1,New
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service.h,2,2,2,New
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service_factory.cc,2,2,0,New
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service_factory.h,1,1,0,New
chrome/browser/password_manager/password_store_factory.cc,1,1,0,Ongoing
chrome/browser/profiles/gaia_info_update_service.cc,1,1,1,Ongoing
chrome/browser/safe_browsing/chrome_password_protection_service_browsertest.cc,4,0,0,New
chrome/browser/safe_browsing/download_protection/download_protection_service.cc,2,2,2,New
chrome/browser/signin/identity_manager_factory.cc,1,1,0,Ongoing
chrome/browser/supervised_user/legacy/supervised_user_refresh_token_fetcher_unittest.cc,-1,0,0,Completed
chrome/browser/supervised_user/legacy/supervised_user_registration_utility.cc,-6,-6,-6,Completed
chrome/browser/supervised_user/legacy/supervised_user_sync_service.cc,-2,-2,-2,Completed
chrome/browser/supervised_user/legacy/supervised_user_sync_service.h,-1,-1,-1,Completed
chrome/browser/supervised_user/legacy/supervised_user_sync_service_factory.cc,-1,-1,0,Completed
chrome/browser/supervised_user/supervised_user_service.cc,-3,-3,-3,Ongoing
chrome/browser/sync/profile_sync_service_android.cc,-2,-2,-2,Completed
chrome/browser/sync/profile_sync_service_factory.cc,-2,-2,0,Ongoing
chrome/browser/sync/profile_sync_test_util.cc,-1,0,0,Ongoing
chrome/browser/sync/supervised_user_signin_manager_wrapper.cc,-1,-1,-1,Completed
chrome/browser/sync/sync_ui_util_unittest.cc,2,0,0,Ongoing
chrome/browser/sync/test/integration/profile_sync_service_harness.cc,2,0,0,New
chrome/browser/sync/test/integration/sync_test.cc,1,0,0,New
chrome/browser/ui/autofill/save_card_bubble_controller_impl.cc,4,4,4,New
chrome/browser/ui/cocoa/profiles/avatar_button_controller.mm,1,1,1,New
chrome/browser/ui/desktop_ios_promotion/desktop_ios_promotion_util_unittest.cc,1,0,0,Ongoing
chrome/browser/ui/extensions/extension_installed_bubble_browsertest.cc,1,0,0,Ongoing
chrome/browser/ui/views/profiles/avatar_toolbar_button.cc,2,2,2,New
chrome/browser/ui/webui/chromeos/login/arc_terms_of_service_screen_handler.cc,2,2,2,New
chrome/browser/ui/webui/local_discovery/local_discovery_ui_browsertest.cc,-2,0,0,Ongoing
chrome/browser/ui/webui/local_discovery/local_discovery_ui_handler.cc,-3,-3,-3,Completed
chrome/browser/ui/webui/local_discovery/local_discovery_ui_handler.h,-1,-1,-1,Completed
chrome/browser/ui/webui/md_history_ui.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/media_router/media_router_webui_message_handler.cc,-1,-1,-1,Ongoing
chrome/browser/ui/webui/ntp/ntp_resource_cache.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/ntp/ntp_resource_cache_factory.cc,-1,-1,0,Completed
chrome/browser/ui/webui/print_preview/privet_printer_handler.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/settings/chromeos/account_manager_handler.cc,1,1,1,New
chrome/browser/ui/webui/settings/md_settings_ui.cc,1,1,1,New
chrome/browser/ui/webui/signin/inline_login_handler_chromeos.cc,2,2,2,New
chrome/browser/ui/webui/signin/login_ui_service.cc,3,3,3,New
chrome/browser/ui/webui/signin/login_ui_service_factory.cc,2,2,0,Ongoing
chrome/browser/ui/webui/signin/signin_supervised_user_import_handler.cc,-4,-4,-4,Completed
chrome/browser/ui/webui/signin/signin_supervised_user_import_handler_unittest.cc,-3,0,0,Completed
chrome/browser/ui/webui/signin/sync_confirmation_ui.cc,2,2,2,New
chrome/browser/ui/webui/welcome_handler.cc,-2,-2,-2,Completed
chrome/browser/unified_consent/unified_consent_service_factory.cc,1,1,0,New
components/browser_sync/profile_sync_service.cc,-1,-1,-1,Ongoing
components/browser_sync/profile_sync_service.h,-1,-1,-1,Ongoing
components/browser_sync/profile_sync_service_startup_unittest.cc,-1,0,0,Ongoing
components/gcm_driver/account_tracker.cc,1,1,1,New
components/gcm_driver/account_tracker.h,1,1,1,New
components/gcm_driver/account_tracker_unittest.cc,4,0,0,New
components/gcm_driver/gcm_account_tracker.cc,1,1,1,New
components/gcm_driver/gcm_account_tracker_unittest.cc,4,0,0,New
components/gcm_driver/gcm_profile_service.cc,-1,-1,-1,Completed
components/gcm_driver/gcm_profile_service.h,2,2,2,New
components/invalidation/impl/gcm_invalidation_bridge.cc,-2,-2,-2,Completed
components/invalidation/impl/profile_identity_provider.cc,1,1,1,New
components/invalidation/impl/profile_identity_provider.h,1,1,1,New
components/invalidation/impl/ticl_invalidation_service_unittest.cc,1,0,0,New
components/invalidation/impl/ticl_profile_settings_provider_unittest.cc,1,0,0,New
components/signin/core/browser/profile_identity_provider.cc,-1,-1,-1,Completed
components/signin/core/browser/profile_identity_provider.h,-1,-1,-1,Completed
components/sync/driver/signin_manager_wrapper.cc,-1,-1,-1,Completed
components/sync/driver/sync_service_base.cc,-1,-1,-1,Completed
ios/chrome/browser/browser_state/browser_state_keyed_service_factories.mm,1,1,1,Ongoing
ios/chrome/browser/gcm/ios_chrome_gcm_profile_service_factory.cc,3,3,0,New
ios/chrome/browser/invalidation/ios_chrome_profile_invalidation_provider_factory.mm,1,1,0,Ongoing
ios/chrome/browser/services/gcm/ios_chrome_gcm_profile_service_factory.cc,-2,-2,0,Completed
ios/chrome/browser/signin/about_signin_internals_factory.cc,1,1,0,Ongoing
ios/chrome/browser/signin/account_fetcher_service_factory.cc,1,1,0,Ongoing
ios/chrome/browser/signin/account_reconcilor_factory.cc,1,1,0,Ongoing
ios/chrome/browser/signin/authentication_service_factory.mm,1,1,0,Ongoing
ios/chrome/browser/signin/authentication_service_fake.mm,1,0,0,Ongoing
ios/chrome/browser/signin/authentication_service_unittest.mm,1,0,0,Ongoing
ios/chrome/browser/signin/identity_manager_factory.cc,2,2,0,Ongoing
ios/chrome/browser/signin/identity_service_creator.cc,1,1,1,Ongoing
ios/chrome/browser/signin/oauth2_token_service_factory.mm,-3,-3,0,Completed
ios/chrome/browser/sync/ios_chrome_profile_sync_service_factory.cc,-3,-3,0,Completed
ios/chrome/browser/sync/profile_sync_service_factory.cc,3,3,0,New
ios/chrome/browser/ui/authentication/chrome_signin_view_controller.mm,2,2,2,New
ios/chrome/browser/ui/authentication/chrome_signin_view_controller_unittest.mm,2,0,0,New
ios/chrome/browser/ui/authentication/signed_in_accounts_view_controller.mm,1,1,1,Ongoing
ios/chrome/browser/ui/settings/accounts_collection_view_controller.mm,1,1,1,Ongoing
ios/chrome/browser/ui/settings/clear_browsing_data_collection_view_controller.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/settings/clear_browsing_data_collection_view_controller_unittest.mm,1,0,0,Ongoing
ios/chrome/browser/ui/settings/clear_browsing_data_manager.mm,2,2,2,New
ios/chrome/browser/ui/settings/clear_browsing_data_manager_unittest.mm,5,0,0,New
ios/chrome/browser/ui/settings/sync_encryption_passphrase_collection_view_controller.mm,1,1,1,Ongoing
ios/chrome/browser/ui/settings/sync_settings_collection_view_controller.mm,1,1,1,Ongoing
ios/web_view/internal/signin/cwv_authentication_controller.mm,-3,-3,-3,Completed
services/identity/public/cpp/access_token_fetcher_unittest.cc,3,0,0,New
services/identity/public/cpp/identity_manager.h,1,1,1,Completed
services/identity/public/cpp/identity_test_utils.cc,1,0,0,Completed
total,30,6,-1,New
