feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/chromeos/arc/optin/arc_terms_of_service_default_negotiator_unittest.cc,-1,0,0,Completed
chrome/browser/chromeos/login/session/user_session_manager.cc,-2,-2,-2,Completed
chrome/browser/chromeos/login/signin/oauth2_login_manager.cc,-2,-2,-2,Completed
chrome/browser/extensions/api/identity/identity_apitest.cc,-2,0,0,Completed
chrome/browser/password_manager/password_store_signin_notifier_impl_unittest.cc,-2,0,0,Completed
chrome/browser/profiles/profile_downloader.cc,-1,-1,-1,Completed
chrome/browser/profiles/profile_downloader.h,-1,-1,-1,Completed
chrome/browser/profiles/profile_window_browsertest.cc,-1,0,0,Completed
chrome/browser/safe_browsing/advanced_protection_status_manager_factory.cc,-1,-1,0,Completed
chrome/browser/signin/chrome_signin_status_metrics_provider_delegate.h,-1,-1,-1,Completed
chrome/browser/signin/gaia_cookie_manager_service_test_util.cc,4,0,0,New
chrome/browser/signin/identity_test_environment_profile_adaptor.cc,1,0,0,Ongoing
chrome/browser/signin/signin_util_win.cc,-3,-3,-3,Completed
chrome/browser/supervised_user/child_accounts/child_account_service.cc,-1,-1,-1,Completed
chrome/browser/supervised_user/child_accounts/child_account_service.h,-1,-1,-1,Completed
chrome/browser/supervised_user/child_accounts/child_account_service_unittest.cc,-1,0,0,Completed
chrome/browser/supervised_user/supervised_user_service.cc,-2,-2,-2,Completed
chrome/browser/sync/test/integration/secondary_account_helper.cc,-1,0,0,Completed
chrome/browser/ui/cocoa/test/cocoa_profile_test.mm,-2,0,0,Completed
chrome/browser/ui/toolbar/app_menu_model_unittest.cc,-1,0,0,Completed
chrome/browser/ui/views/autofill/local_card_migration_browsertest.cc,-7,0,0,Completed
chrome/browser/ui/views/bookmarks/bookmark_bubble_view_browsertest.cc,-2,0,0,Completed
chrome/browser/ui/views/frame/test_with_browser_view.cc,-1,0,0,Completed
chrome/browser/ui/webui/signin/inline_login_handler_chromeos.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/signin/signin_create_profile_handler.cc,-1,-1,-1,Completed
chrome/browser/unified_consent/unified_consent_service_factory.cc,-1,-1,0,Completed
components/signin/core/browser/about_signin_internals.cc,-1,-1,-1,Ongoing
components/signin/core/browser/about_signin_internals.h,1,1,1,Completed
components/signin/core/browser/account_reconcilor_unittest.cc,1,0,0,Ongoing
components/signin/core/browser/signin_status_metrics_provider.cc,-1,-1,-1,Completed
components/signin/core/browser/signin_status_metrics_provider.h,-1,-1,-1,Completed
components/signin/ios/browser/merge_session_observer_bridge.h,-1,-1,-1,Completed
ios/chrome/browser/signin/authentication_service_unittest.mm,-1,0,0,Completed
ios/chrome/browser/signin/ios_chrome_signin_status_metrics_provider_delegate.cc,-2,-2,-2,Completed
ios/web_view/internal/signin/ios_web_view_signin_client.mm,-1,-1,-1,Completed
ios/web_view/internal/sync/cwv_sync_controller_unittest.mm,1,0,0,Ongoing
services/identity/public/cpp/identity_manager.h,-1,-1,-1,Completed
services/identity/public/cpp/identity_test_environment.cc,1,0,0,Completed
services/identity/public/cpp/identity_test_utils.cc,-1,0,0,Completed
total,-41,-26,-24,New
