feature,# including files,prod,prod non-factory
total,108,67,43
signin,19,11,8
profiles,6,4,4
account_reconcilor,8,6,4
sync,9,4,2
about_signin,4,4,2
dice,5,2,2
safe_browsing,4,1,1
account_consistency,4,3,2
browser_state,2,2,2
supervised_user,4,3,1
policy,1,0,0
authentication_service,4,2,1
gaia_cookie_manager,2,1,0
autofill,5,4,1
chrome/browser/ui/webui/signin,2,1,1
ios/web_view/internal/signin,5,5,1
chrome/browser/chromeos,3,2,2
chrome/browser/chromeos/login,3,2,1
arc/auth,3,2,2
chrome/browser/extensions/api/identity,2,1,1
webui,1,0,0
password_manager,1,0,0
chrome/browser/android/signin,1,1,1
settings,2,2,2
account_fetcher,1,1,0
chrome/browser/ui,2,0,0
ios/chrome/browser/prefs,1,1,1
metrics,1,1,0
search,1,0,0
chrome/test/base,1,0,0
chrome/browser/prefs,1,1,1
