feature,# inclusions,from prod,from prod non-factory
total,241,122,79
signin,61,28,17
profiles,19,14,14
account_reconcilor,17,8,5
sync,15,4,2
about_signin,13,13,6
dice,12,3,3
safe_browsing,11,2,2
account_consistency,9,3,2
browser_state,9,9,9
supervised_user,7,4,1
policy,6,0,0
authentication_service,6,2,1
gaia_cookie_manager,6,2,0
autofill,5,4,1
chrome/browser/ui/webui/signin,5,1,1
ios/web_view/internal/signin,5,5,1
chrome/browser/chromeos,5,3,3
chrome/browser/chromeos/login,5,4,1
arc/auth,4,3,3
chrome/browser/extensions/api/identity,4,1,1
webui,2,0,0
password_manager,2,0,0
chrome/browser/android/signin,2,2,2
settings,2,2,2
account_fetcher,2,2,0
chrome/browser/ui,2,0,0
ios/chrome/browser/prefs,1,1,1
metrics,1,1,0
search,1,0,0
chrome/test/base,1,0,0
chrome/browser/prefs,1,1,1
