feature,# inclusions,from prod,from prod non-factory
total,152,97,87
profiles,16,13,13
safe_browsing,11,5,4
dice,11,6,6
settings,10,10,10
signin,9,6,4
chrome/browser/ui/webui/signin,8,7,7
ios/chrome/browser/ui/authentication,8,6,6
chrome/browser/extensions/api/identity,6,4,4
sync,6,2,2
chrome/browser/android/signin,6,6,6
arc/auth,5,3,3
chrome/browser/chromeos/login,5,2,2
account_fetcher,5,3,1
chrome/browser/chromeos,4,1,1
authentication_service,4,2,1
supervised_user,3,3,2
webui,3,3,3
password_manager,3,2,2
about_signin,3,3,1
signin_ui_util,3,2,2
signin_promo,2,2,2
autofill,2,0,0
policy,2,0,0
signin_error_notifier,2,0,0
child_account_info,2,2,2
ios/chrome/test/app,2,0,0
account_reconcilor,1,0,0
signin_tracker,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
components/search_provider_logos,1,0,0
browser_state,1,1,1
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
chrome/browser/ui,1,1,1
