feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/android/bookmarks/bookmark_bridge.cc,-2,-2,-2,Completed
chrome/browser/android/contextualsearch/contextual_search_delegate.cc,1,1,1,New
chrome/browser/android/signin/signin_manager_android.h,-1,-1,-1,Completed
chrome/browser/apps/platform_apps/api/sync_file_system/sync_file_system_browsertest.cc,-1,0,0,Completed
chrome/browser/autocomplete/chrome_autocomplete_provider_client.cc,-2,-2,-2,Completed
chrome/browser/browser_process_impl.cc,1,1,1,New
chrome/browser/chrome_browser_main.cc,1,1,1,New
chrome/browser/chrome_content_browser_client.cc,1,1,1,Completed
chrome/browser/chromeos/arc/arc_play_store_enabled_preference_handler.cc,-2,-2,-2,Completed
chrome/browser/chromeos/arc/arc_session_manager_browsertest.cc,-6,0,0,Completed
chrome/browser/chromeos/arc/auth/arc_auth_service.h,1,1,1,New
chrome/browser/chromeos/arc/policy/arc_android_management_checker.cc,-2,-2,-2,Completed
chrome/browser/chromeos/drive/drive_integration_service.cc,-4,-4,-4,Completed
chrome/browser/chromeos/extensions/file_manager/file_manager_private_apitest.cc,-2,0,0,Completed
chrome/browser/chromeos/extensions/file_manager/private_api_drive.cc,-4,-4,-4,Completed
chrome/browser/chromeos/extensions/file_manager/private_api_misc.cc,-4,-4,-4,Completed
chrome/browser/chromeos/login/signin/oauth2_browsertest.cc,-3,0,0,Completed
chrome/browser/chromeos/login/signin/oauth2_login_manager.cc,-3,-3,-3,Ongoing
chrome/browser/chromeos/policy/device_local_account_browsertest.cc,-2,0,0,Completed
chrome/browser/chromeos/policy/user_cloud_policy_manager_chromeos_unittest.cc,-10,0,0,Completed
chrome/browser/chromeos/policy/user_cloud_policy_token_forwarder.cc,-2,-2,-2,Completed
chrome/browser/chromeos/policy/user_cloud_policy_token_forwarder_factory.cc,-4,-4,0,Completed
chrome/browser/extensions/api/browsing_data/browsing_data_api.cc,1,1,1,Completed
chrome/browser/extensions/api/identity/identity_api.cc,-2,-2,-2,Completed
chrome/browser/extensions/api/screenlock_private/screenlock_private_apitest.cc,-2,0,0,Completed
chrome/browser/extensions/api/webstore_private/webstore_private_api.cc,-2,-2,-2,Completed
chrome/browser/password_manager/chrome_password_manager_client.cc,-2,-2,-2,Completed
chrome/browser/password_manager/password_store_signin_notifier_impl.cc,-2,-2,-2,Completed
chrome/browser/password_manager/password_store_signin_notifier_impl.h,-1,-1,-1,Completed
chrome/browser/payments/chrome_payment_request_delegate.cc,-2,-2,-2,Completed
chrome/browser/policy/cloud/user_policy_signin_service.cc,-3,-3,-3,Completed
chrome/browser/policy/cloud/user_policy_signin_service_base.cc,-2,-2,-2,Completed
chrome/browser/policy/cloud/user_policy_signin_service_base.h,-1,-1,-1,Completed
chrome/browser/policy/cloud/user_policy_signin_service_factory.cc,-2,-2,0,Completed
chrome/browser/policy/cloud/user_policy_signin_service_mobile.cc,-3,-3,-3,Completed
chrome/browser/policy/cloud/user_policy_signin_service_unittest.cc,-3,0,0,Completed
chrome/browser/printing/print_dialog_cloud.cc,1,1,1,New
chrome/browser/profiles/avatar_menu.cc,1,1,1,New
chrome/browser/profiles/gaia_info_update_service.cc,1,1,1,Completed
chrome/browser/profiles/host_zoom_map_browsertest.cc,1,0,0,New
chrome/browser/profiles/profile_downloader_unittest.cc,-3,0,0,Completed
chrome/browser/profiles/profile_info_cache.cc,1,1,1,New
chrome/browser/profiles/profile_info_cache_unittest.cc,1,0,0,New
chrome/browser/profiles/profile_io_data.cc,1,1,1,New
chrome/browser/profiles/profile_io_data.h,1,1,1,New
chrome/browser/profiles/profile_list_desktop.cc,1,1,1,New
chrome/browser/profiles/profile_list_desktop_unittest.cc,1,0,0,New
chrome/browser/profiles/profile_manager.cc,-4,-4,-4,Ongoing
chrome/browser/profiles/profile_manager_unittest.cc,1,0,0,New
chrome/browser/profiles/profile_window_browsertest.cc,1,0,0,Completed
chrome/browser/profiles/profiles_state.cc,-2,-2,-2,Completed
chrome/browser/profiles/renderer_updater.cc,-1,-1,-1,Completed
chrome/browser/profiles/renderer_updater.h,-1,-1,-1,Completed
chrome/browser/safe_browsing/advanced_protection_status_manager_unittest.cc,-5,0,0,Completed
chrome/browser/safe_browsing/chrome_password_protection_service.cc,-2,-2,-2,Completed
chrome/browser/signin/account_consistency_mode_manager.h,1,1,1,New
chrome/browser/signin/account_consistency_mode_manager_unittest.cc,1,0,0,New
chrome/browser/signin/chrome_signin_helper.cc,1,1,1,Completed
chrome/browser/signin/chrome_signin_helper_unittest.cc,1,0,0,New
chrome/browser/signin/chrome_signin_status_metrics_provider_delegate.cc,-1,-1,-1,Completed
chrome/browser/signin/chromeos_mirror_account_consistency_browsertest.cc,1,0,0,New
chrome/browser/signin/dice_browsertest.cc,1,0,0,Completed
chrome/browser/signin/dice_response_handler.cc,-2,-2,-2,Completed
chrome/browser/signin/dice_response_handler.h,1,1,1,New
chrome/browser/signin/dice_response_handler_unittest.cc,1,0,0,Ongoing
chrome/browser/signin/dice_tab_helper.cc,1,1,1,New
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate.h,1,1,1,Completed
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate_unittest.cc,1,0,0,Completed
chrome/browser/signin/process_dice_header_delegate_impl.h,1,1,1,New
chrome/browser/signin/process_dice_header_delegate_impl_unittest.cc,1,0,0,New
chrome/browser/signin/scoped_account_consistency.h,1,1,1,New
chrome/browser/signin/signin_error_notifier_ash_unittest.cc,2,0,0,Completed
chrome/browser/signin/signin_global_error.cc,1,1,1,New
chrome/browser/signin/signin_promo.cc,1,1,1,Completed
chrome/browser/signin/signin_tracker_factory.cc,1,1,0,Ongoing
chrome/browser/signin/signin_ui_util.cc,-1,-1,-1,Ongoing
chrome/browser/signin/signin_ui_util_unittest.cc,1,0,0,Ongoing
chrome/browser/supervised_user/legacy/custodian_profile_downloader_service.cc,-2,-2,-2,Completed
chrome/browser/supervised_user/supervised_user_google_auth_navigation_throttle.cc,-2,-2,-2,Completed
chrome/browser/supervised_user/supervised_user_service_unittest.cc,-5,0,0,Completed
chrome/browser/sync/test/integration/profile_sync_service_harness.cc,-3,0,0,Completed
chrome/browser/sync/test/integration/secondary_account_helper.cc,-2,0,0,Ongoing
chrome/browser/sync_file_system/drive_backend/sync_engine.cc,-4,-4,-4,Completed
chrome/browser/sync_file_system/drive_backend/sync_engine.h,-1,-1,-1,Completed
chrome/browser/ui/ash/multi_user/multi_user_util_chromeos_unittest.cc,-4,0,0,Completed
chrome/browser/ui/autofill/save_card_bubble_controller_impl.cc,-4,-4,-4,Completed
chrome/browser/ui/browser_command_controller_browsertest.cc,1,0,0,New
chrome/browser/ui/browser_command_controller_unittest.cc,1,0,0,New
chrome/browser/ui/cocoa/profiles/profile_menu_controller.mm,1,1,1,New
chrome/browser/ui/desktop_ios_promotion/desktop_ios_promotion_util.cc,-1,-1,-1,Completed
chrome/browser/ui/desktop_ios_promotion/desktop_ios_promotion_util_unittest.cc,-1,0,0,Completed
chrome/browser/ui/desktop_ios_promotion/sms_service_unittest.cc,-2,0,0,Completed
chrome/browser/ui/extensions/extension_installed_bubble_browsertest.cc,-3,0,0,Completed
chrome/browser/ui/passwords/password_manager_presenter.cc,-1,-1,-1,Completed
chrome/browser/ui/signin_view_controller.cc,-1,-1,-1,Completed
chrome/browser/ui/startup/startup_tab_provider.cc,-2,-2,-2,Completed
chrome/browser/ui/views/bookmarks/bookmark_bubble_sign_in_delegate_browsertest.cc,1,0,0,New
chrome/browser/ui/views/bookmarks/bookmark_bubble_view.cc,1,1,1,New
chrome/browser/ui/views/frame/browser_view.cc,1,1,1,New
chrome/browser/ui/views/profiles/forced_reauthentication_dialog_view.cc,-1,-1,-1,Completed
chrome/browser/ui/views/profiles/forced_reauthentication_dialog_view_browsertest.cc,-2,0,0,Completed
chrome/browser/ui/views/profiles/profile_chooser_view.cc,-1,-1,-1,Ongoing
chrome/browser/ui/views/sync/profile_signin_confirmation_dialog_views.cc,1,1,1,New
chrome/browser/ui/webui/app_launcher_login_handler.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/chrome_web_ui_controller_factory.cc,1,1,0,New
chrome/browser/ui/webui/print_preview/print_preview_handler.cc,1,1,1,Ongoing
chrome/browser/ui/webui/profile_info_watcher.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/settings/people_handler.cc,1,1,1,Completed
chrome/browser/ui/webui/settings/people_handler.h,-1,-1,-1,Completed
chrome/browser/ui/webui/settings/people_handler_unittest.cc,-4,0,0,Completed
chrome/browser/ui/webui/settings/settings_manage_profile_handler.cc,1,1,1,New
chrome/browser/ui/webui/signin/dice_turn_sync_on_helper.cc,1,1,1,Completed
chrome/browser/ui/webui/signin/inline_login_ui.cc,1,1,1,New
chrome/browser/ui/webui/signin/inline_login_ui_browsertest.cc,1,0,0,Completed
chrome/browser/ui/webui/signin/login_ui_service.cc,1,1,1,Completed
chrome/browser/ui/webui/signin/user_manager_screen_handler.cc,1,1,1,New
chrome/browser/ui/webui/signin/user_manager_ui_browsertest.cc,1,0,0,New
chrome/browser/ui/zoom/zoom_controller_browsertest.cc,1,0,0,New
components/browser_sync/profile_sync_service_unittest.cc,-2,0,0,Completed
components/browser_sync/profile_sync_test_util.cc,-1,0,0,Completed
components/browser_sync/profile_sync_test_util.h,-5,0,0,Completed
components/password_manager/core/browser/password_sync_util.h,-1,-1,-1,Completed
components/password_manager/core/browser/sync_credentials_filter.h,-1,-1,-1,Completed
components/password_manager/core/browser/sync_username_test_base.h,-4,0,0,Completed
components/signin/core/browser/account_reconcilor.cc,1,1,1,Completed
components/signin/core/browser/account_reconcilor.h,-1,-1,-1,Ongoing
components/signin/core/browser/account_reconcilor_unittest.cc,1,0,0,Ongoing
components/signin/core/browser/chrome_connected_header_helper.h,1,1,1,New
components/signin/core/browser/dice_account_reconcilor_delegate.h,1,1,1,New
components/signin/core/browser/dice_account_reconcilor_delegate_unittest.cc,1,0,0,Completed
components/signin/core/browser/dice_header_helper.h,1,1,1,New
components/signin/core/browser/mirror_account_reconcilor_delegate.h,-1,-1,-1,Completed
components/signin/core/browser/signin_header_helper.h,1,1,1,New
components/signin/core/browser/signin_header_helper_unittest.cc,1,0,0,New
components/signin/core/browser/signin_tracker_unittest.cc,1,0,0,Ongoing
components/signin/ios/browser/account_consistency_service.mm,1,1,1,Completed
ios/chrome/app/main_controller.mm,-2,-2,-2,Completed
ios/chrome/browser/autocomplete/autocomplete_provider_client_impl.mm,-2,-2,-2,Completed
ios/chrome/browser/autofill/personal_data_manager_factory.cc,-1,-1,0,Completed
ios/chrome/browser/browser_state/chrome_browser_state_manager_impl.cc,-4,-4,-4,Ongoing
ios/chrome/browser/gcm/ios_chrome_gcm_profile_service_factory.cc,-1,-1,0,Completed
ios/chrome/browser/history/web_history_service_factory.cc,-2,-2,0,Completed
ios/chrome/browser/invalidation/ios_chrome_deprecated_profile_invalidation_provider_factory.mm,-1,-1,0,Completed
ios/chrome/browser/invalidation/ios_chrome_profile_invalidation_provider_factory.mm,-1,-1,0,Completed
ios/chrome/browser/passwords/ios_chrome_password_manager_client.mm,-2,-2,-2,Completed
ios/chrome/browser/payments/payment_request.mm,-2,-2,-2,Completed
ios/chrome/browser/payments/payment_request_unittest_base.mm,-3,0,0,Completed
ios/chrome/browser/signin/about_signin_internals_factory.cc,1,1,0,Ongoing
ios/chrome/browser/signin/account_reconcilor_factory.cc,-1,-1,0,Ongoing
ios/chrome/browser/signin/authentication_service.mm,-1,-1,-1,Completed
ios/chrome/browser/signin/authentication_service_factory.mm,-1,-1,0,Completed
ios/chrome/browser/signin/authentication_service_fake.mm,-1,0,0,Completed
ios/chrome/browser/signin/authentication_service_unittest.mm,-5,0,0,Completed
ios/chrome/browser/signin/identity_test_environment_chrome_browser_state_adaptor.cc,7,0,0,New
ios/chrome/browser/sync/ios_chrome_profile_sync_test_util.cc,-1,0,0,Completed
ios/chrome/browser/sync/profile_sync_service_factory.cc,-1,-1,0,Completed
ios/chrome/browser/sync/synced_sessions_bridge.h,-1,-1,-1,Completed
ios/chrome/browser/sync/synced_sessions_bridge.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/authentication/authentication_flow_performer.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/authentication/chrome_signin_view_controller.mm,1,1,1,Completed
ios/chrome/browser/ui/authentication/chrome_signin_view_controller_unittest.mm,1,0,0,Completed
ios/chrome/browser/ui/authentication/signin_earlgrey_utils.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/bookmarks/bookmark_promo_controller.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/first_run/first_run_egtest.mm,-2,0,0,Completed
ios/chrome/browser/ui/payments/payment_request_mediator_unittest.mm,-1,0,0,Completed
ios/chrome/browser/ui/recent_tabs/recent_tabs_coordinator_unittest.mm,-2,0,0,Completed
ios/chrome/browser/ui/settings/accounts_collection_egtest.mm,-2,0,0,Completed
ios/chrome/browser/ui/settings/accounts_collection_view_controller.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/settings/clear_browsing_data_collection_view_controller_unittest.mm,-5,0,0,Completed
ios/chrome/browser/ui/settings/clear_browsing_data_manager.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/settings/clear_browsing_data_manager_unittest.mm,-5,0,0,Completed
ios/chrome/browser/ui/settings/signin_settings_egtest.mm,-2,0,0,Completed
ios/chrome/browser/ui/signin_interaction/signin_interaction_controller.mm,-1,-1,-1,Completed
ios/chrome/browser/ui/signin_interaction/signin_interaction_controller_egtest.mm,-2,0,0,Completed
ios/web_view/internal/autofill/web_view_personal_data_manager_factory.cc,-1,-1,0,Completed
ios/web_view/internal/signin/web_view_identity_manager_factory.mm,-1,-1,0,Completed
ios/web_view/internal/signin/web_view_signin_manager_factory.mm,1,1,0,Completed
ios/web_view/internal/sync/web_view_profile_invalidation_provider_factory.mm,-1,-1,0,Completed
services/identity/public/cpp/accounts_mutator.cc,1,1,1,New
services/identity/public/cpp/accounts_mutator_unittest.cc,1,0,0,New
services/identity/public/cpp/identity_manager_unittest.cc,1,0,0,Completed
services/identity/public/cpp/identity_test_environment.cc,1,0,0,Completed
services/identity/public/cpp/identity_test_utils.cc,-1,0,0,Completed
services/identity/public/cpp/primary_account_mutator_impl.cc,2,2,2,New
total,-158,-87,-73,New
