feature,# inclusions,from prod,from prod non-factory
total,156,82,56
supervised_user,13,10,8
signin,12,6,4
dice,10,4,4
settings,10,8,8
sync,9,2,1
chrome/browser/ui/webui/signin,8,5,4
account_fetcher,8,5,0
chrome/browser/chromeos/login,8,5,4
chrome/browser/extensions/api/identity,7,4,4
webui,6,2,2
policy,6,2,2
account_reconcilor,5,3,1
arc/auth,5,2,2
authentication_service,5,2,1
extensions,5,3,0
force_signin,4,1,1
browsing_data,4,0,0
signin_tracker,3,2,1
about_signin,3,3,1
signin_error_notifier,3,1,0
profiles,3,3,3
ios/chrome/browser/ui/authentication,2,2,2
signin_global_error,2,0,0
metrics,2,2,0
signin_ui_util,2,0,0
safe_browsing,2,0,0
chrome/browser/android/signin,2,2,2
components/search_provider_logos,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
toolbar,1,0,0
browser_state,1,1,1
chrome/test/base,1,0,0
gaia_cookie_manager,1,1,0
