feature,# including files,prod,prod non-factory
total,129,75,58
sync,10,3,3
chrome/browser/ui/webui/signin,9,6,5
extensions,8,4,2
chrome/browser/chromeos/login,7,6,5
signin,7,3,1
supervised_user,5,5,3
webui,5,2,2
safe_browsing,4,1,0
profiles,7,6,5
browsing_data,5,2,2
chrome/browser,4,3,3
dice,4,1,1
policy,3,0,0
bookmarks,2,0,0
chrome/browser/extensions/api/identity,2,1,1
about_signin,4,4,2
settings,3,2,2
signin_status_metrics_provider,4,4,4
force_signin,2,1,1
signin_promo,2,2,2
arc/auth,2,1,1
account_investigator,3,2,1
signin_ui_util,2,1,1
signin_tracker,3,2,1
signin_global_error,1,0,0
chrome/browser/chromeos,2,0,0
metrics,2,1,1
account_consistency,3,2,1
account_reconcilor,1,0,0
autofill,1,0,0
password_manager,1,0,0
chrome/browser/ui,1,1,1
chrome/test/base,1,0,0
first_run,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
browser_state,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/signin,1,1,0
chrome/browser/android/signin,1,1,1
chrome/browser/prefs,1,1,1
