feature,# inclusions,from prod,from prod non-factory
total,220,114,91
sync,18,4,4
chrome/browser/ui/webui/signin,17,9,7
extensions,15,7,4
chrome/browser/chromeos/login,12,10,9
signin,12,6,2
supervised_user,10,10,8
webui,9,3,3
safe_browsing,9,1,0
profiles,9,8,7
browsing_data,9,3,3
chrome/browser,8,6,6
dice,6,1,1
policy,6,0,0
bookmarks,5,0,0
chrome/browser/extensions/api/identity,5,2,2
about_signin,5,5,2
settings,5,4,4
signin_status_metrics_provider,5,5,5
force_signin,4,2,2
signin_promo,4,4,4
arc/auth,4,2,2
account_investigator,4,3,1
signin_ui_util,4,2,2
signin_tracker,3,2,1
signin_global_error,3,0,0
chrome/browser/chromeos,3,0,0
metrics,3,1,1
account_consistency,3,2,1
account_reconcilor,2,0,0
autofill,2,0,0
password_manager,2,0,0
chrome/browser/ui,2,2,2
chrome/test/base,2,0,0
first_run,2,2,2
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
browser_state,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/signin,1,1,0
chrome/browser/android/signin,1,1,1
chrome/browser/prefs,1,1,1
