feature,# including files,prod,prod non-factory
total,299,200,160
signin,24,15,12
sync,17,8,5
profiles,26,19,18
dice,11,7,7
chrome/browser/ui/webui/signin,14,10,9
supervised_user,12,8,5
chrome/browser/chromeos/login,13,10,8
settings,11,10,10
webui,11,8,7
account_reconcilor,9,7,5
safe_browsing,8,4,3
about_signin,4,4,2
chrome/browser/extensions/api/identity,5,4,4
extensions,8,4,2
signin_ui_util,2,1,1
account_fetcher,6,4,1
policy,6,1,1
chrome/browser/ui,9,4,4
account_consistency,8,5,4
signin_tracker,4,3,2
arc/auth,4,3,3
chrome/browser,6,5,5
browsing_data,5,2,2
ios/chrome/browser/ui/authentication,4,3,3
authentication_service,4,2,1
signin_global_error,4,3,2
chrome/browser/chromeos,6,2,2
chrome/browser/android/signin,3,3,3
account_investigator,4,3,2
ios/web_view/internal/signin,7,7,2
force_signin,2,1,1
signin_promo,2,2,2
metrics,4,3,1
chrome/test/base,1,0,0
bookmarks,4,1,1
browser_state,2,2,2
signin_error_notifier,3,2,1
components/search_provider_logos,2,1,1
password_manager,3,2,2
signin_status_metrics_provider,4,4,4
autofill,1,0,0
search,2,1,1
first_run,1,1,1
child_account_info,2,2,2
gaia_cookie_manager,1,1,0
ios/chrome/test/app,1,0,0
chrome/browser/search_provider_logos,1,1,0
ios/chrome/browser/ui/signin_interaction,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
toolbar,1,0,0
chrome/browser/prefs,1,1,1
