feature,# inclusions,from prod,from prod non-factory
total,789,451,358
signin,63,34,22
sync,52,15,11
profiles,52,41,40
dice,44,18,18
chrome/browser/ui/webui/signin,44,29,26
supervised_user,34,26,21
chrome/browser/chromeos/login,33,25,21
settings,30,26,26
webui,28,17,16
account_reconcilor,24,14,8
safe_browsing,24,6,4
about_signin,23,23,10
chrome/browser/extensions/api/identity,22,11,11
extensions,20,10,4
signin_ui_util,16,8,8
account_fetcher,16,10,2
policy,15,2,2
chrome/browser/ui,15,6,6
account_consistency,15,8,6
signin_tracker,14,8,4
arc/auth,14,7,7
chrome/browser,13,9,9
browsing_data,13,3,3
ios/chrome/browser/ui/authentication,12,9,9
authentication_service,11,4,2
signin_global_error,10,3,2
chrome/browser/chromeos,10,2,2
chrome/browser/android/signin,10,10,10
account_investigator,9,5,2
ios/web_view/internal/signin,9,9,3
force_signin,8,3,3
signin_promo,8,8,8
metrics,8,6,2
chrome/test/base,8,0,0
bookmarks,7,1,1
browser_state,7,7,7
signin_error_notifier,7,3,1
components/search_provider_logos,5,1,1
password_manager,5,2,2
signin_status_metrics_provider,5,5,5
autofill,4,0,0
search,3,1,1
first_run,3,3,3
child_account_info,3,3,3
gaia_cookie_manager,2,2,0
ios/chrome/test/app,2,0,0
chrome/browser/search_provider_logos,1,1,0
ios/chrome/browser/ui/signin_interaction,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
toolbar,1,0,0
chrome/browser/prefs,1,1,1
