feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/android/signin/account_tracker_service_android.cc,-2,-2,-2,Completed
chrome/browser/browsing_data/counters/browsing_data_counter_utils.cc,-1,-1,-1,Completed
chrome/browser/chromeos/account_manager/account_manager_migrator.cc,2,2,2,New
chrome/browser/chromeos/authpolicy/auth_policy_credentials_manager.cc,-2,-2,-2,Completed
chrome/browser/extensions/api/browsing_data/browsing_data_api.cc,-2,-2,-2,Completed
chrome/browser/extensions/api/browsing_data/browsing_data_test.cc,-4,0,0,Completed
chrome/browser/extensions/extension_system_factory.cc,-2,-2,0,Completed
chrome/browser/extensions/updater/chrome_extension_downloader_factory.cc,-3,-3,0,Completed
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service.h,-2,-2,-2,Completed
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service_factory.cc,-3,-3,0,Completed
chrome/browser/metrics/ukm_browsertest.cc,-2,0,0,Completed
chrome/browser/policy/cloud/component_cloud_policy_browsertest.cc,-2,0,0,Completed
chrome/browser/search_provider_logos/logo_service_factory.cc,-1,-1,0,Completed
chrome/browser/signin/about_signin_internals_factory.cc,-2,-2,0,Ongoing
chrome/browser/signin/chromeos_mirror_account_consistency_browsertest.cc,-1,0,0,Completed
chrome/browser/signin/dice_browsertest.cc,-4,0,0,Ongoing
chrome/browser/signin/identity_services_provider_android.cc,3,3,3,New
chrome/browser/signin/oauth2_token_service_delegate_android.cc,-1,-1,-1,Completed
chrome/browser/signin/oauth2_token_service_delegate_android.h,-2,-2,-2,Completed
chrome/browser/signin/signin_error_notifier_ash_unittest.cc,-4,0,0,Completed
chrome/browser/signin/signin_global_error_unittest.cc,-4,0,0,Completed
chrome/browser/signin/signin_profile_attributes_updater_unittest.cc,9,0,0,New
chrome/browser/signin/signin_util_win.cc,4,4,4,New
chrome/browser/sync/sync_ui_util.cc,-1,-1,-1,Completed
chrome/browser/sync/sync_ui_util_unittest.cc,-6,0,0,Completed
chrome/browser/sync/test/integration/single_client_sessions_sync_test.cc,2,0,0,New
chrome/browser/ui/passwords/google_password_manager_navigation_throttle_browsertest.cc,2,0,0,New
chrome/browser/ui/sync/one_click_signin_sync_observer_unittest.cc,-3,0,0,Completed
chrome/browser/ui/views/autofill/save_card_bubble_views_browsertest_base.cc,-2,0,0,Ongoing
chrome/browser/ui/webui/settings/settings_clear_browsing_data_handler.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/inline_login_handler_impl.cc,-2,-2,-2,Ongoing
components/search_provider_logos/logo_service_impl.cc,-1,-1,-1,Completed
components/search_provider_logos/logo_service_impl_unittest.cc,-4,0,0,Completed
components/signin/core/browser/about_signin_internals.cc,-1,-1,-1,Ongoing
components/signin/core/browser/about_signin_internals.h,-2,-2,-2,Completed
components/signin/core/browser/oauth2_token_service_delegate_android.h,2,2,2,New
components/sync/driver/sync_session_durations_metrics_recorder.h,1,1,1,New
ios/chrome/browser/autofill/autocomplete_history_manager_factory.cc,1,1,0,New
ios/chrome/browser/signin/about_signin_internals_factory.cc,-1,-1,0,Ongoing
ios/chrome/browser/signin/signin_browser_state_info_updater_unittest.mm,7,0,0,New
ios/chrome/browser/ui/settings/sync_encryption_passphrase_collection_view_controller.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/settings/sync_encryption_passphrase_table_view_controller.mm,2,2,2,New
services/identity/public/cpp/accounts_mutator.cc,-1,-1,-1,Completed
services/identity/public/cpp/identity_manager.h,1,1,1,Completed
total,-35,-19,-8,New
