feature,# inclusions,from prod,from prod non-factory
total,152,98,88
profiles,16,13,13
signin,16,9,7
dice,11,6,6
safe_browsing,11,5,4
settings,10,10,10
chrome/browser/ui/webui/signin,8,7,7
chrome/browser/chromeos,6,3,3
chrome/browser/extensions/api/identity,6,4,4
ios/chrome/browser/ui/authentication,6,4,4
arc/auth,5,3,3
sync,5,2,2
account_fetcher,5,3,1
chrome/browser/chromeos/login,5,2,2
chrome/browser/android/signin,4,4,4
authentication_service,4,2,1
supervised_user,3,3,2
webui,3,3,3
password_manager,3,2,2
about_signin,3,3,1
signin_ui_util,3,2,2
signin_promo,2,2,2
child_account_info,2,2,2
policy,2,0,0
ios/chrome/test/app,2,0,0
account_reconcilor,1,0,0
autofill,1,0,0
signin_tracker,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
browser_state,1,1,1
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
chrome/browser/ui,1,1,1
