feature,# including files,prod,prod non-factory
total,82,50,30
signin,13,7,5
settings,5,4,4
dice,4,2,2
account_fetcher,5,3,0
supervised_user,5,4,2
sync,5,2,1
webui,3,1,1
chrome/browser/ui/webui/signin,3,2,1
policy,3,1,1
account_reconcilor,4,3,1
authentication_service,4,2,1
chrome/browser/chromeos/login,4,2,1
force_signin,2,1,1
chrome/browser/extensions/api/identity,2,2,2
signin_tracker,3,2,1
about_signin,3,3,1
profiles,2,2,2
arc/auth,1,1,1
signin_ui_util,1,0,0
ios/web_view/internal/signin,2,2,0
chrome/browser/android/signin,1,1,1
account_investigator,1,0,0
account_consistency,1,0,0
signin_error_notifier,1,1,0
toolbar,1,0,0
browser_state,1,1,1
chrome/test/base,1,0,0
gaia_cookie_manager,1,1,0
