feature,# inclusions,from prod,from prod non-factory
total,122,69,47
signin,18,7,5
settings,10,8,8
dice,8,4,4
account_fetcher,8,5,0
supervised_user,7,6,4
sync,6,2,1
webui,6,2,2
chrome/browser/ui/webui/signin,6,3,2
policy,6,2,2
account_reconcilor,5,3,1
authentication_service,5,2,1
chrome/browser/chromeos/login,5,3,2
force_signin,4,1,1
chrome/browser/extensions/api/identity,4,4,4
signin_tracker,3,2,1
about_signin,3,3,1
profiles,3,3,3
arc/auth,2,2,2
signin_ui_util,2,0,0
ios/web_view/internal/signin,2,2,0
chrome/browser/android/signin,2,2,2
account_investigator,1,0,0
account_consistency,1,0,0
signin_error_notifier,1,1,0
toolbar,1,0,0
browser_state,1,1,1
chrome/test/base,1,0,0
gaia_cookie_manager,1,1,0
