feature,# inclusions,from prod,from prod non-factory
total,162,91,71
signin,27,16,8
chrome/browser/ui/webui/signin,14,6,4
sync,10,3,3
webui,9,3,3
profiles,9,8,7
chrome/browser/chromeos/login,8,6,5
chrome/browser,8,6,6
extensions,7,5,4
bookmarks,5,0,0
signin_status_metrics_provider,5,5,5
force_signin,4,2,2
signin_promo,4,4,4
supervised_user,4,4,2
dice,4,1,1
signin_ui_util,4,2,2
chrome/browser/ui,4,2,2
settings,4,3,3
signin_tracker,3,2,1
chrome/browser/extensions/api/identity,3,2,2
safe_browsing,3,1,0
account_consistency,3,2,1
account_reconcilor,2,0,0
password_manager,2,0,0
policy,2,0,0
chrome/test/base,2,0,0
autofill,1,0,0
ios/web_view/internal/app,1,1,1
ios/web_view/internal/passwords,1,1,1
account_investigator,1,0,0
browser_state,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/signin,1,1,0
signin_global_error,1,0,0
chrome/browser/chromeos,1,0,0
chrome/browser/android/signin,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
