feature,# inclusions,from prod,from prod non-factory
total,688,414,326
signin,91,49,32
profiles,52,41,40
sync,44,16,12
dice,40,18,18
chrome/browser/ui/webui/signin,37,22,19
settings,29,25,25
webui,28,17,16
chrome/browser/chromeos/login,26,19,15
account_reconcilor,24,14,8
supervised_user,22,16,11
about_signin,17,17,7
chrome/browser/ui,17,6,6
signin_ui_util,16,8,8
account_fetcher,16,10,2
safe_browsing,15,6,4
signin_tracker,14,8,4
chrome/browser/extensions/api/identity,14,11,11
account_consistency,14,8,6
chrome/browser,13,9,9
policy,11,2,2
authentication_service,10,4,2
ios/web_view/internal/signin,9,9,2
chrome/test/base,9,0,0
force_signin,8,3,3
signin_promo,8,8,8
ios/chrome/browser/ui/authentication,8,5,5
chrome/browser/chromeos,8,3,3
chrome/browser/android/signin,8,8,8
bookmarks,7,1,1
arc/auth,7,5,5
account_investigator,7,2,1
browser_state,7,7,7
extensions,7,5,4
autofill,6,4,1
signin_global_error,6,3,2
password_manager,5,2,2
signin_status_metrics_provider,5,5,5
signin_error_notifier,3,3,1
search,3,1,1
child_account_info,3,3,3
gaia_cookie_manager,2,2,0
ios/chrome/test/app,2,0,0
ios/chrome/browser/ui/signin_interaction,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
metrics,1,1,0
toolbar,1,0,0
chrome/browser/prefs,1,1,1
first_run,1,1,1
