file,# inclusions
total,688
components/signin/core/browser/account_tracker_service.h,78
components/signin/core/browser/account_consistency_method.h,70
chrome/browser/signin/signin_manager_factory.h,66
chrome/browser/signin/account_tracker_service_factory.h,58
components/signin/core/browser/signin_manager.h,50
components/signin/core/browser/profile_oauth2_token_service.h,44
chrome/browser/signin/profile_oauth2_token_service_factory.h,43
chrome/browser/signin/gaia_cookie_manager_service_factory.h,27
components/signin/core/browser/gaia_cookie_manager_service.h,26
chrome/browser/signin/chrome_signin_client_factory.h,20
chrome/browser/signin/signin_error_controller_factory.h,20
components/signin/core/browser/signin_error_controller.h,19
ios/chrome/browser/signin/account_tracker_service_factory.h,16
components/signin/core/browser/test_signin_client.h,15
components/signin/core/browser/signin_client.h,14
ios/chrome/browser/signin/profile_oauth2_token_service_factory.h,14
chrome/browser/signin/fake_signin_manager_builder.h,14
components/signin/core/browser/signin_manager_base.h,12
components/signin/core/browser/fake_profile_oauth2_token_service.h,12
components/signin/core/browser/fake_signin_manager.h,10
ios/chrome/browser/signin/gaia_cookie_manager_service_factory.h,10
components/signin/core/browser/fake_gaia_cookie_manager_service.h,9
ios/chrome/browser/signin/signin_manager_factory.h,9
chrome/browser/signin/fake_profile_oauth2_token_service_builder.h,8
components/signin/core/browser/device_id_helper.h,6
chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,6
chrome/browser/signin/chrome_signin_client.h,3
ios/chrome/browser/signin/signin_error_controller_factory.h,3
ios/chrome/browser/signin/ios_chrome_signin_client.h,2
ios/chrome/browser/signin/fake_oauth2_token_service_builder.h,1
ios/chrome/browser/signin/fake_signin_manager_builder.h,1
components/signin/core/browser/signin_internals_util.h,1
ios/chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,1
