feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/android/data_usage/data_use_ui_tab_model_factory.cc,-2,-2,0,Completed
chrome/browser/apps/platform_apps/api/sync_file_system/sync_file_system_browsertest.cc,1,0,0,New
chrome/browser/browsing_data/browsing_data_remover_browsertest.cc,4,0,0,New
chrome/browser/browsing_data/counters/browsing_data_counter_utils.cc,1,1,1,New
chrome/browser/browsing_data/counters/browsing_data_counter_utils_browsertest.cc,2,0,0,New
chrome/browser/chrome_content_browser_client.cc,2,2,2,New
chrome/browser/chromeos/account_mapper_util.cc,1,1,1,New
chrome/browser/chromeos/arc/arc_session_manager_browsertest.cc,5,0,0,Ongoing
chrome/browser/chromeos/arc/arc_support_host.cc,-2,-2,-2,Completed
chrome/browser/chromeos/arc/arc_support_host_unittest.cc,-1,0,0,Completed
chrome/browser/chromeos/arc/auth/arc_auth_context.cc,-2,-2,-2,Completed
chrome/browser/chromeos/arc/auth/arc_auth_service.cc,4,4,4,New
chrome/browser/chromeos/arc/auth/arc_auth_service_browsertest.cc,2,0,0,Ongoing
chrome/browser/chromeos/arc/auth/arc_background_auth_code_fetcher.cc,-1,-1,-1,Completed
chrome/browser/chromeos/arc/policy/arc_android_management_checker.cc,3,3,3,Completed
chrome/browser/chromeos/cryptauth/chrome_cryptauth_service.cc,-4,-4,-4,Completed
chrome/browser/chromeos/cryptauth/chrome_cryptauth_service.h,-1,-1,-1,Completed
chrome/browser/chromeos/cryptauth/chrome_cryptauth_service_factory.cc,-2,-2,0,Completed
chrome/browser/chromeos/login/easy_unlock/chrome_proximity_auth_client.cc,-4,-4,-4,Completed
chrome/browser/chromeos/login/easy_unlock/easy_unlock_service.cc,-4,-4,-4,Completed
chrome/browser/chromeos/login/easy_unlock/easy_unlock_service_regular.cc,-4,-4,-4,Completed
chrome/browser/chromeos/login/easy_unlock/easy_unlock_service_unittest_chromeos.cc,-2,0,0,Completed
chrome/browser/chromeos/login/existing_user_controller.cc,-1,-1,-1,Completed
chrome/browser/chromeos/login/screens/sync_consent_screen.cc,2,2,2,New
chrome/browser/chromeos/login/session/user_session_manager.cc,-1,-1,-1,Ongoing
chrome/browser/chromeos/login/signin/device_id_browsertest.cc,-1,0,0,Completed
chrome/browser/chromeos/login/signin/oauth2_browsertest.cc,1,0,0,Ongoing
chrome/browser/chromeos/login/signin/oauth2_login_manager.cc,-1,-1,-1,Completed
chrome/browser/chromeos/login/users/avatar/user_image_manager_browsertest.cc,2,0,0,Ongoing
chrome/browser/chromeos/oauth2_token_service_delegate_unittest.cc,1,0,0,Ongoing
chrome/browser/chromeos/policy/user_cloud_policy_manager_chromeos_unittest.cc,4,0,0,Ongoing
chrome/browser/extensions/api/browsing_data/browsing_data_api.cc,1,1,1,New
chrome/browser/extensions/api/browsing_data/browsing_data_test.cc,4,0,0,New
chrome/browser/extensions/api/feedback_private/chrome_feedback_private_delegate.cc,-2,-2,-2,Completed
chrome/browser/extensions/api/identity/gaia_web_auth_flow.cc,-1,-1,-1,Completed
chrome/browser/extensions/api/identity/identity_get_auth_token_function.cc,-1,-1,-1,Ongoing
chrome/browser/extensions/api/sync_file_system/sync_file_system_browsertest.cc,-1,0,0,Completed
chrome/browser/extensions/extension_gcm_app_handler_unittest.cc,-3,0,0,Completed
chrome/browser/first_run/first_run.cc,-2,-2,-2,Completed
chrome/browser/gcm/gcm_profile_service_factory.cc,-3,-3,0,Completed
chrome/browser/gcm/gcm_profile_service_unittest.cc,-3,0,0,Completed
chrome/browser/history/web_history_service_factory.cc,-2,-2,0,Completed
chrome/browser/interstitials/enterprise_util.cc,-2,-2,-2,Completed
chrome/browser/invalidation/profile_invalidation_provider_factory.cc,-4,-4,0,Completed
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service.cc,-1,-1,-1,Completed
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service_factory.cc,1,1,0,Completed
chrome/browser/password_manager/password_store_factory.cc,-2,-2,0,Completed
chrome/browser/password_manager/password_store_signin_notifier_impl.cc,1,1,1,Ongoing
chrome/browser/password_manager/password_store_signin_notifier_impl.h,1,1,1,Ongoing
chrome/browser/password_manager/password_store_signin_notifier_impl_unittest.cc,1,0,0,Ongoing
chrome/browser/policy/cloud/user_policy_signin_service_unittest.cc,1,0,0,Ongoing
chrome/browser/printing/cloud_print/privet_notifications.cc,-2,-2,-2,Completed
chrome/browser/profiles/gaia_info_update_service.cc,-1,-1,-1,Ongoing
chrome/browser/profiles/gaia_info_update_service.h,-1,-1,-1,Completed
chrome/browser/profiles/gaia_info_update_service_factory.cc,-1,-1,0,Completed
chrome/browser/profiles/gaia_info_update_service_unittest.cc,-2,0,0,Ongoing
chrome/browser/profiles/profile_downloader.cc,-6,-6,-6,Ongoing
chrome/browser/profiles/profile_downloader_unittest.cc,1,0,0,Ongoing
chrome/browser/profiles/renderer_updater.cc,1,1,1,New
chrome/browser/profiles/renderer_updater.h,1,1,1,New
