feature,# including files,prod,prod non-factory
total,119,74,64
profiles,13,11,11
settings,8,7,7
dice,6,3,3
safe_browsing,7,4,3
sync,8,2,2
chrome/browser/ui/webui/signin,5,4,4
ios/chrome/browser/ui/authentication,4,3,3
signin,8,6,4
chrome/browser/extensions/api/identity,4,3,3
chrome/browser/android/signin,3,3,3
account_fetcher,5,3,1
chrome/browser/chromeos/login,3,1,1
arc/auth,2,1,1
chrome/browser/chromeos,3,1,1
autofill,2,1,1
password_manager,4,2,2
policy,2,0,0
authentication_service,4,2,1
supervised_user,3,3,2
webui,2,2,2
about_signin,3,3,1
signin_ui_util,2,1,1
browser_state,2,2,2
chrome/browser/ui,2,1,1
signin_promo,1,1,1
child_account_info,2,2,2
ios/chrome/test/app,1,0,0
account_reconcilor,1,0,0
components/search_provider_logos,1,0,0
signin_tracker,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
desktop_ios_promotion,1,0,0
ios/web_view/internal/signin,1,1,0
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
