feature,# inclusions,from prod,from prod non-factory
total,165,102,92
profiles,18,15,15
settings,12,10,10
dice,11,6,6
safe_browsing,11,5,4
sync,9,2,2
chrome/browser/ui/webui/signin,8,7,7
ios/chrome/browser/ui/authentication,8,6,6
signin,8,6,4
chrome/browser/extensions/api/identity,6,4,4
chrome/browser/android/signin,6,6,6
account_fetcher,5,3,1
chrome/browser/chromeos/login,5,2,2
arc/auth,4,2,2
chrome/browser/chromeos,4,1,1
autofill,4,2,2
password_manager,4,2,2
policy,4,0,0
authentication_service,4,2,1
supervised_user,3,3,2
webui,3,3,3
about_signin,3,3,1
signin_ui_util,3,2,2
browser_state,3,3,3
chrome/browser/ui,3,1,1
signin_promo,2,2,2
child_account_info,2,2,2
ios/chrome/test/app,2,0,0
account_reconcilor,1,0,0
components/search_provider_logos,1,0,0
signin_tracker,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
desktop_ios_promotion,1,0,0
ios/web_view/internal/signin,1,1,0
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
