feature,# including files,prod,prod non-factory
total,126,70,44
policy,9,6,4
supervised_user,10,6,4
sync,12,3,1
settings,7,4,4
dice,5,2,2
signin,9,6,4
extensions,6,4,2
chrome/browser/extensions/api/identity,4,3,3
chrome/browser/chromeos/login,5,3,2
profiles,5,3,3
chrome/browser/ui/webui/signin,4,3,2
account_fetcher,5,3,0
authentication_service,4,2,1
webui,3,1,1
account_reconcilor,4,3,1
arc/auth,2,1,1
safe_browsing,2,0,0
force_signin,2,1,1
signin_ui_util,2,1,1
browsing_data,2,0,0
chrome/browser/chromeos,1,0,0
signin_tracker,3,2,1
about_signin,3,3,1
drive_backend,1,1,1
drive,1,1,1
ios/chrome/browser/ui/authentication,1,1,1
signin_global_error,1,0,0
metrics,1,1,0
chrome/browser/android/signin,1,1,1
components/search_provider_logos,1,0,0
password_manager,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
signin_error_notifier,1,1,0
toolbar,1,0,0
browser_state,1,1,1
chrome/test/base,1,0,0
gaia_cookie_manager,1,1,0
chrome/browser/ui,1,0,0
history,1,1,0
