feature,# inclusions,from prod,from prod non-factory
total,207,106,75
policy,18,10,7
supervised_user,16,10,8
sync,14,3,1
settings,14,8,8
dice,10,4,4
signin,10,6,4
extensions,10,7,4
chrome/browser/extensions/api/identity,9,6,6
chrome/browser/chromeos/login,9,5,4
profiles,9,5,5
chrome/browser/ui/webui/signin,8,5,4
account_fetcher,8,5,0
authentication_service,7,2,1
webui,6,2,2
account_reconcilor,5,3,1
arc/auth,5,2,2
safe_browsing,5,0,0
force_signin,4,1,1
signin_ui_util,4,2,2
browsing_data,4,0,0
chrome/browser/chromeos,3,0,0
signin_tracker,3,2,1
about_signin,3,3,1
drive_backend,2,2,2
drive,2,2,2
ios/chrome/browser/ui/authentication,2,2,2
signin_global_error,2,0,0
metrics,2,2,0
chrome/browser/android/signin,2,2,2
components/search_provider_logos,1,0,0
password_manager,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
signin_error_notifier,1,1,0
toolbar,1,0,0
browser_state,1,1,1
chrome/test/base,1,0,0
gaia_cookie_manager,1,1,0
chrome/browser/ui,1,0,0
history,1,1,0
