feature,# including files,prod,prod non-factory
total,224,143,113
sync,17,6,5
policy,14,8,6
extensions,13,7,5
settings,10,5,5
chrome/browser/ui/webui/signin,9,6,5
supervised_user,8,7,5
profiles,12,10,9
chrome/browser/chromeos/login,8,7,6
webui,7,4,4
safe_browsing,6,2,1
password_manager,7,5,5
signin,6,3,1
bookmarks,4,2,2
chrome/browser/ui,5,3,3
chrome/browser/chromeos,4,1,1
dice,5,2,2
browsing_data,5,2,2
payments,4,2,2
chrome/browser,4,3,3
account_reconcilor,5,4,2
autofill,4,3,1
signin_status_metrics_provider,5,5,5
authentication_service,4,2,1
chrome/browser/extensions/api/identity,2,1,1
about_signin,4,4,2
force_signin,2,1,1
signin_promo,2,2,2
ios/chrome/browser/ui/signin_interaction,2,1,1
arc/auth,2,1,1
autocomplete,2,2,2
account_investigator,3,2,1
ios/chrome/browser/ui/authentication,2,2,2
signin_ui_util,2,1,1
first_run,2,1,1
signin_tracker,3,2,1
drive_backend,2,2,2
browser_state,2,2,2
signin_global_error,1,0,0
metrics,2,1,1
chrome/browser/android/signin,2,2,2
account_consistency,3,2,1
startup,1,1,1
drive,1,1,1
ios/chrome/app,1,1,1
ios/chrome/browser/ui,1,0,0
ios/web_view/internal/signin,2,2,0
invalidation,2,2,0
ios/chrome/browser/passwords,1,1,1
chrome/test/base,1,0,0
gcm,1,1,0
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/apps/platform_apps/api/sync_file_system,1,0,0
history,1,1,0
