feature,# inclusions,from prod,from prod non-factory
total,381,220,183
sync,27,8,7
policy,26,11,8
extensions,24,13,10
settings,22,9,9
chrome/browser/ui/webui/signin,17,9,7
supervised_user,16,14,12
profiles,16,14,13
chrome/browser/chromeos/login,14,12,11
webui,13,7,7
safe_browsing,13,3,2
password_manager,10,7,7
signin,10,6,2
bookmarks,9,4,4
chrome/browser/ui,9,5,5
chrome/browser/chromeos,8,2,2
dice,8,3,3
browsing_data,8,2,2
payments,8,4,4
chrome/browser,8,6,6
account_reconcilor,6,4,2
autofill,6,4,2
signin_status_metrics_provider,6,6,6
authentication_service,6,2,1
chrome/browser/extensions/api/identity,5,2,2
about_signin,5,5,2
force_signin,4,2,2
signin_promo,4,4,4
ios/chrome/browser/ui/signin_interaction,4,2,2
arc/auth,4,2,2
autocomplete,4,4,4
account_investigator,4,3,1
ios/chrome/browser/ui/authentication,4,4,4
signin_ui_util,4,2,2
first_run,4,2,2
signin_tracker,3,2,1
drive_backend,3,3,3
browser_state,3,3,3
signin_global_error,3,0,0
metrics,3,1,1
chrome/browser/android/signin,3,3,3
account_consistency,3,2,1
startup,2,2,2
drive,2,2,2
ios/chrome/app,2,2,2
ios/chrome/browser/ui,2,0,0
ios/web_view/internal/signin,2,2,0
invalidation,2,2,0
ios/chrome/browser/passwords,2,2,2
chrome/test/base,2,0,0
gcm,1,1,0
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/apps/platform_apps/api/sync_file_system,1,0,0
history,1,1,0
