feature,# including files,prod,prod non-factory
total,333,223,174
sync,24,10,6
profiles,20,16,15
settings,15,10,10
policy,15,8,6
signin,19,13,10
supervised_user,15,10,7
chrome/browser/ui/webui/signin,11,8,7
chrome/browser/chromeos/login,13,10,8
dice,6,3,3
extensions,13,7,5
safe_browsing,8,4,3
webui,12,9,9
chrome/browser/extensions/api/identity,5,4,4
account_reconcilor,9,7,5
about_signin,4,4,2
chrome/browser/ui,8,4,4
authentication_service,4,2,1
chrome/browser/chromeos,7,3,3
password_manager,7,5,5
signin_ui_util,2,1,1
account_fetcher,6,4,1
ios/chrome/browser/ui/authentication,5,4,4
arc/auth,3,2,2
signin_tracker,4,3,2
browsing_data,5,2,2
browser_state,2,2,2
chrome/browser/android/signin,4,4,4
autofill,4,3,1
account_consistency,4,3,2
chrome/browser,4,3,3
bookmarks,4,2,2
account_investigator,4,3,2
ios/web_view/internal/signin,8,8,2
signin_global_error,3,2,1
force_signin,2,1,1
metrics,4,3,1
chrome/test/base,1,0,0
payments,4,2,2
signin_promo,2,2,2
signin_status_metrics_provider,5,5,5
drive_backend,2,2,2
components/search_provider_logos,2,1,1
signin_error_notifier,3,2,1
first_run,2,1,1
drive,1,1,1
ios/chrome/browser/ui/signin_interaction,2,1,1
autocomplete,2,2,2
desktop_ios_promotion,3,1,1
child_account_info,2,2,2
startup,1,1,1
ios/chrome/browser/passwords,1,1,1
ios/chrome/app,1,1,1
ios/chrome/browser/ui,1,0,0
invalidation,2,2,0
search,1,0,0
gaia_cookie_manager,1,1,0
ios/chrome/test/app,1,0,0
history,1,1,0
gcm,1,1,0
chrome/browser/search_provider_logos,1,1,0
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
toolbar,1,0,0
chrome/browser/prefs,1,1,1
chrome/browser/apps/platform_apps/api/sync_file_system,1,0,0
