feature,# inclusions,from prod,from prod non-factory
total,952,541,434
sync,70,19,13
profiles,55,44,43
settings,51,29,29
policy,49,21,15
signin,49,30,18
supervised_user,43,30,25
chrome/browser/ui/webui/signin,39,26,23
chrome/browser/chromeos/login,39,28,24
dice,38,15,15
extensions,34,20,14
safe_browsing,31,8,6
webui,30,19,19
chrome/browser/extensions/api/identity,24,13,13
account_reconcilor,23,15,8
about_signin,22,22,10
chrome/browser/ui,20,7,7
authentication_service,19,6,3
chrome/browser/chromeos,18,4,4
password_manager,16,9,9
signin_ui_util,16,9,9
account_fetcher,16,10,2
ios/chrome/browser/ui/authentication,14,12,12
arc/auth,13,6,6
signin_tracker,12,7,4
browsing_data,12,2,2
browser_state,11,11,11
chrome/browser/android/signin,11,11,11
autofill,10,6,4
account_consistency,10,5,3
chrome/browser,10,6,6
bookmarks,9,4,4
account_investigator,9,5,2
ios/web_view/internal/signin,9,9,3
signin_global_error,9,2,1
force_signin,8,3,3
metrics,8,6,2
chrome/test/base,8,0,0
payments,8,4,4
signin_promo,7,7,7
signin_status_metrics_provider,6,6,6
drive_backend,5,5,5
components/search_provider_logos,5,1,1
signin_error_notifier,5,3,1
first_run,5,3,3
drive,4,4,4
ios/chrome/browser/ui/signin_interaction,4,2,2
autocomplete,4,4,4
desktop_ios_promotion,4,1,1
child_account_info,3,3,3
startup,2,2,2
ios/chrome/browser/passwords,2,2,2
ios/chrome/app,2,2,2
ios/chrome/browser/ui,2,0,0
invalidation,2,2,0
search,2,0,0
gaia_cookie_manager,2,2,0
ios/chrome/test/app,2,0,0
history,2,2,0
gcm,1,1,0
chrome/browser/search_provider_logos,1,1,0
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
toolbar,1,0,0
chrome/browser/prefs,1,1,1
chrome/browser/apps/platform_apps/api/sync_file_system,1,0,0
