file,# inclusions
total,952
chrome/browser/signin/signin_manager_factory.h,138
components/signin/core/browser/signin_manager.h,133
components/signin/core/browser/account_tracker_service.h,86
chrome/browser/signin/profile_oauth2_token_service_factory.h,80
components/signin/core/browser/profile_oauth2_token_service.h,71
chrome/browser/signin/account_tracker_service_factory.h,63
components/signin/core/browser/signin_manager_base.h,34
ios/chrome/browser/signin/signin_manager_factory.h,31
components/signin/core/browser/signin_error_controller.h,28
chrome/browser/signin/gaia_cookie_manager_service_factory.h,28
components/signin/core/browser/gaia_cookie_manager_service.h,25
chrome/browser/signin/fake_signin_manager_builder.h,25
chrome/browser/signin/signin_error_controller_factory.h,23
components/signin/core/browser/fake_profile_oauth2_token_service.h,23
chrome/browser/signin/chrome_signin_client_factory.h,19
components/signin/core/browser/test_signin_client.h,18
ios/chrome/browser/signin/account_tracker_service_factory.h,16
components/signin/core/browser/fake_signin_manager.h,16
chrome/browser/signin/fake_profile_oauth2_token_service_builder.h,15
components/signin/core/browser/signin_client.h,15
ios/chrome/browser/signin/profile_oauth2_token_service_factory.h,15
components/signin/core/browser/fake_gaia_cookie_manager_service.h,12
chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,7
ios/chrome/browser/signin/gaia_cookie_manager_service_factory.h,7
components/signin/core/browser/device_id_helper.h,6
ios/chrome/browser/signin/fake_signin_manager_builder.h,4
ios/chrome/browser/signin/signin_error_controller_factory.h,4
chrome/browser/signin/chrome_signin_client.h,3
ios/chrome/browser/signin/fake_oauth2_token_service_builder.h,3
ios/chrome/browser/signin/ios_chrome_signin_client.h,2
components/signin/core/browser/signin_internals_util.h,2
ios/chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,0
