feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/android/signin/signin_manager_android.cc,-1,-1,-1,Ongoing
chrome/browser/autofill/personal_data_manager_factory.cc,-1,-1,0,Completed
chrome/browser/chromeos/account_manager/account_manager_migrator.cc,-2,-2,-2,Completed
chrome/browser/chromeos/account_mapper_util.cc,-1,-1,-1,Completed
chrome/browser/chromeos/arc/auth/arc_auth_service.cc,-2,-2,-2,Completed
chrome/browser/chromeos/arc/auth/arc_auth_service.h,-1,-1,-1,Completed
chrome/browser/chromeos/arc/auth/arc_auth_service_browsertest.cc,1,0,0,Ongoing
chrome/browser/chromeos/login/signin/oauth2_browsertest.cc,-1,0,0,Completed
chrome/browser/chromeos/oauth2_token_service_delegate_unittest.cc,-2,0,0,Completed
chrome/browser/extensions/api/identity/identity_api.cc,-1,-1,-1,Completed
chrome/browser/extensions/api/identity/identity_apitest.cc,-3,0,0,Completed
chrome/browser/metrics/desktop_session_duration/desktop_profile_session_durations_service_factory.h,-1,-1,0,Completed
chrome/browser/password_manager/password_store_signin_notifier_impl_unittest.cc,-2,0,0,Completed
chrome/browser/policy/cloud/user_policy_signin_service_unittest.cc,-6,0,0,Completed
chrome/browser/prefs/browser_prefs.cc,-1,-1,-1,Completed
chrome/browser/profiles/chrome_browser_main_extra_parts_profiles.cc,-3,-3,-3,Ongoing
chrome/browser/profiles/gaia_info_update_service_unittest.cc,-1,0,0,Completed
chrome/browser/profiles/profile_downloader_unittest.cc,-4,0,0,Completed
chrome/browser/profiles/profile_manager.cc,-3,-3,-3,Ongoing
chrome/browser/safe_browsing/advanced_protection_status_manager_unittest.cc,-2,0,0,Completed
chrome/browser/safe_browsing/chrome_password_protection_service.cc,-2,-2,-2,Completed
chrome/browser/safe_browsing/chrome_password_protection_service_browsertest.cc,-3,0,0,Completed
chrome/browser/safe_browsing/chrome_password_protection_service_unittest.cc,-4,0,0,Completed
chrome/browser/search/search_suggest/search_suggest_service_unittest.cc,-1,0,0,Completed
chrome/browser/signin/about_signin_internals_factory.cc,-3,-3,0,Ongoing
chrome/browser/signin/account_reconcilor_factory.cc,-2,-2,0,Completed
chrome/browser/signin/chrome_signin_helper.cc,-2,-2,-2,Completed
chrome/browser/signin/dice_browsertest.cc,-3,0,0,Completed
chrome/browser/signin/dice_response_handler.cc,-2,-2,-2,Completed
chrome/browser/signin/dice_response_handler_unittest.cc,1,0,0,Ongoing
chrome/browser/signin/gaia_cookie_manager_service_test_util.cc,-4,0,0,Completed
chrome/browser/signin/identity_manager_factory.cc,1,1,0,Ongoing
chrome/browser/signin/identity_services_provider_android.cc,-3,-3,-3,Completed
chrome/browser/signin/identity_test_environment_profile_adaptor.cc,-1,0,0,Ongoing
chrome/browser/signin/signin_profile_attributes_updater_unittest.cc,-1,0,0,Completed
chrome/browser/signin/signin_util_win_browsertest.cc,-3,0,0,Completed
chrome/browser/signin/test_signin_client_builder.cc,-1,0,0,Completed
chrome/browser/supervised_user/child_accounts/child_account_service.cc,-1,-1,-1,Completed
chrome/browser/supervised_user/child_accounts/child_account_service_unittest.cc,-3,0,0,Completed
chrome/browser/supervised_user/legacy/custodian_profile_downloader_service_factory.cc,-2,-2,0,Completed
chrome/browser/supervised_user/supervised_user_service_factory.cc,-1,-1,0,Completed
chrome/browser/sync/sync_ui_util_unittest.cc,-1,0,0,Completed
chrome/browser/sync/test/integration/secondary_account_helper.cc,-1,0,0,Completed
chrome/browser/sync/test/integration/single_client_sessions_sync_test.cc,-2,0,0,Completed
chrome/browser/sync/test/integration/sync_test.cc,-1,0,0,Completed
chrome/browser/ui/cocoa/test/cocoa_profile_test.mm,-1,0,0,Completed
chrome/browser/ui/views/autofill/save_card_bubble_views_browsertest.cc,-1,0,0,Completed
chrome/browser/ui/views/frame/test_with_browser_view.cc,-1,0,0,Completed
chrome/browser/ui/webui/local_discovery/local_discovery_ui_browsertest.cc,-2,0,0,Completed
chrome/browser/ui/webui/settings/chromeos/account_manager_handler.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/settings/md_settings_ui.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/dice_turn_sync_on_helper.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/dice_turn_sync_on_helper_unittest.cc,-1,0,0,Completed
chrome/browser/ui/webui/signin/signin_utils_desktop.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/sync_confirmation_handler_unittest.cc,-4,0,0,Completed
chrome/test/base/testing_profile.cc,-1,0,0,Completed
components/autofill/core/browser/personal_data_manager.h,-1,-1,-1,Completed
components/signin/core/browser/about_signin_internals.cc,-3,-3,-3,Ongoing
components/signin/core/browser/about_signin_internals.h,-1,-1,-1,Ongoing
components/signin/core/browser/account_reconcilor.cc,-1,-1,-1,Completed
components/signin/core/browser/account_reconcilor.h,-2,-2,-2,Completed
components/signin/core/browser/account_reconcilor_unittest.cc,-8,0,0,Completed
components/signin/core/browser/dice_account_reconcilor_delegate.cc,-1,-1,-1,Completed
components/signin/core/browser/dice_account_reconcilor_delegate_unittest.cc,-1,0,0,Completed
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate.cc,-1,-1,-1,Completed
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate.h,-2,-2,-2,Completed
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate_unittest.cc,-4,0,0,Completed
components/signin/core/browser/oauth2_token_service_delegate_android.h,-2,-2,-2,Completed
components/signin/ios/browser/account_consistency_service.h,-1,-1,-1,Completed
components/signin/ios/browser/account_consistency_service.mm,-1,-1,-1,Completed
components/signin/ios/browser/account_consistency_service_unittest.mm,-6,0,0,Completed
components/signin/ios/browser/profile_oauth2_token_service_ios_delegate.mm,-2,-2,-2,Completed
components/signin/ios/browser/profile_oauth2_token_service_ios_delegate_unittest.mm,-3,0,0,Completed
components/sync/driver/sync_session_durations_metrics_recorder.h,-1,-1,-1,Completed
ios/chrome/browser/autofill/autocomplete_history_manager_factory.cc,-1,-1,0,Completed
ios/chrome/browser/autofill/personal_data_manager_factory.cc,-1,-1,0,Completed
ios/chrome/browser/browser_state/browser_state_keyed_service_factories.mm,-4,-4,-4,Ongoing
ios/chrome/browser/browser_state/chrome_browser_state_manager_impl.cc,-2,-2,-2,Ongoing
ios/chrome/browser/prefs/browser_prefs.mm,-1,-1,-1,Completed
ios/chrome/browser/signin/about_signin_internals_factory.cc,-2,-2,0,Ongoing
ios/chrome/browser/signin/account_consistency_service_factory.mm,-1,-1,0,Completed
ios/chrome/browser/signin/account_reconcilor_factory.cc,-1,-1,0,Completed
ios/chrome/browser/signin/authentication_service.mm,-1,-1,-1,Completed
ios/chrome/browser/signin/authentication_service_factory.mm,-1,-1,0,Completed
ios/chrome/browser/signin/authentication_service_fake.mm,-1,0,0,Completed
ios/chrome/browser/signin/authentication_service_unittest.mm,-3,0,0,Completed
ios/chrome/browser/signin/identity_manager_factory.cc,1,1,0,Ongoing
ios/chrome/browser/signin/identity_test_environment_chrome_browser_state_adaptor.cc,2,0,0,Ongoing
ios/chrome/browser/signin/signin_browser_state_info_updater_unittest.mm,-7,0,0,Completed
ios/chrome/browser/signin/signin_client_factory.cc,-1,-1,0,Completed
ios/web_view/internal/signin/ios_web_view_signin_client.h,-1,-1,-1,Completed
ios/web_view/internal/signin/web_view_account_fetcher_service_factory.mm,-2,-2,0,Completed
ios/web_view/internal/signin/web_view_account_tracker_service_factory.mm,-1,-1,0,Completed
ios/web_view/internal/signin/web_view_gaia_cookie_manager_service_factory.mm,-2,-2,0,Completed
ios/web_view/internal/signin/web_view_identity_manager_factory.mm,5,5,0,New
ios/web_view/internal/signin/web_view_oauth2_token_service_factory.mm,-1,-1,0,Completed
ios/web_view/internal/signin/web_view_signin_client_factory.mm,-1,-1,0,Completed
ios/web_view/internal/signin/web_view_signin_manager_factory.mm,-1,-1,0,Completed
ios/web_view/internal/sync/cwv_sync_controller.mm,-1,-1,-1,Completed
ios/web_view/internal/sync/cwv_sync_controller_unittest.mm,-6,0,0,Completed
