file,# inclusions
chrome/browser/signin/identity_manager_factory.cc,1
chrome/browser/signin/identity_test_environment_profile_adaptor.cc,2
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate.h,1
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate_unittest.cc,1
chrome/browser/signin/oauth2_token_service_delegate_android.cc,1
chrome/browser/signin/oauth2_token_service_delegate_android.h,1
components/signin/ios/browser/profile_oauth2_token_service_ios_delegate_unittest.mm,1
ios/chrome/browser/signin/identity_manager_factory.cc,1
ios/chrome/browser/signin/identity_service_creator.cc,1
ios/chrome/browser/signin/identity_test_environment_chrome_browser_state_adaptor.cc,2
total,12
