feature,# including files,prod,prod non-factory
total,113,70,52
signin,12,8,4
sync,9,3,3
chrome/browser/ui/webui/signin,7,4,3
webui,5,2,2
profiles,7,6,5
extensions,5,4,2
chrome/browser,4,3,3
chrome/browser/chromeos/login,5,4,3
dice,4,1,1
bookmarks,2,0,0
about_signin,4,4,2
settings,3,2,2
browsing_data,3,2,2
signin_status_metrics_provider,4,4,4
force_signin,2,1,1
signin_promo,2,2,2
supervised_user,3,3,1
policy,2,0,0
signin_ui_util,2,1,1
signin_tracker,3,2,1
chrome/browser/extensions/api/identity,2,1,1
signin_global_error,1,0,0
metrics,2,1,1
safe_browsing,2,1,0
account_consistency,3,2,1
account_reconcilor,1,0,0
autofill,1,0,0
password_manager,1,0,0
chrome/browser/ui,1,1,1
chrome/test/base,1,0,0
ios/web_view/internal/app,1,1,1
ios/web_view/internal/passwords,1,1,1
account_investigator,1,0,0
browser_state,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/signin,1,1,0
chrome/browser/chromeos,1,0,0
chrome/browser/android/signin,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
