feature,# inclusions,from prod,from prod non-factory
total,182,102,77
signin,20,14,6
sync,16,4,4
chrome/browser/ui/webui/signin,14,6,4
webui,9,3,3
profiles,9,8,7
extensions,9,7,4
chrome/browser,8,6,6
chrome/browser/chromeos/login,8,6,5
dice,6,1,1
bookmarks,5,0,0
about_signin,5,5,2
settings,5,4,4
browsing_data,5,3,3
signin_status_metrics_provider,5,5,5
force_signin,4,2,2
signin_promo,4,4,4
supervised_user,4,4,2
policy,4,0,0
signin_ui_util,4,2,2
signin_tracker,3,2,1
chrome/browser/extensions/api/identity,3,2,2
signin_global_error,3,0,0
metrics,3,1,1
safe_browsing,3,1,0
account_consistency,3,2,1
account_reconcilor,2,0,0
autofill,2,0,0
password_manager,2,0,0
chrome/browser/ui,2,2,2
chrome/test/base,2,0,0
ios/web_view/internal/app,1,1,1
ios/web_view/internal/passwords,1,1,1
account_investigator,1,0,0
browser_state,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/signin,1,1,0
chrome/browser/chromeos,1,0,0
chrome/browser/android/signin,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
