feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/autofill/personal_data_manager_factory.cc,1,1,0,New
chrome/browser/browsing_data/browsing_data_remover_browsertest.cc,-4,0,0,Completed
chrome/browser/browsing_data/counters/browsing_data_counter_utils_browsertest.cc,-2,0,0,Completed
chrome/browser/chromeos/arc/arc_play_store_enabled_preference_handler_unittest.cc,-2,0,0,Completed
chrome/browser/chromeos/arc/auth/arc_auth_service.cc,-2,-2,-2,Ongoing
chrome/browser/chromeos/arc/auth/arc_auth_service_browsertest.cc,-5,0,0,Ongoing
chrome/browser/chromeos/authpolicy/auth_policy_credentials_manager.cc,2,2,2,New
chrome/browser/chromeos/first_run/first_run.cc,-2,-2,-2,Ongoing
chrome/browser/chromeos/login/signin/auth_sync_observer.cc,-2,-2,-2,Ongoing
chrome/browser/chromeos/login/signin/token_handle_fetcher.cc,-4,-4,-4,Completed
chrome/browser/chromeos/login/users/avatar/user_image_manager_browsertest.cc,-1,0,0,Ongoing
chrome/browser/chromeos/oauth2_token_service_delegate.cc,-1,-1,-1,Completed
chrome/browser/chromeos/oauth2_token_service_delegate_unittest.cc,-1,0,0,Ongoing
chrome/browser/extensions/api/enterprise_platform_keys/enterprise_platform_keys_api_unittest.cc,-2,0,0,Completed
chrome/browser/extensions/api/identity/identity_apitest.cc,-8,0,0,Ongoing
chrome/browser/extensions/api/signed_in_devices/signed_in_devices_manager_unittest.cc,-2,0,0,Completed
chrome/browser/extensions/external_provider_impl_chromeos_unittest.cc,-4,0,0,Completed
chrome/browser/policy/cloud/cloud_policy_browsertest.cc,-2,0,0,Completed
chrome/browser/safe_browsing/chrome_password_protection_service_unittest.cc,-7,0,0,Ongoing
chrome/browser/safe_browsing/safe_browsing_blocking_page_unittest.cc,-2,0,0,Completed
chrome/browser/signin/account_investigator_factory.cc,-2,-2,0,Ongoing
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate.h,-1,-1,-1,Ongoing
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate_unittest.cc,-1,0,0,Ongoing
chrome/browser/signin/signin_profile_attributes_updater.h,2,2,2,New
chrome/browser/signin/signin_profile_attributes_updater_factory.cc,3,3,0,New
chrome/browser/signin/signin_util.cc,2,2,2,New
chrome/browser/supervised_user/child_accounts/permission_request_creator_apiary.cc,-5,-5,-5,Completed
chrome/browser/supervised_user/child_accounts/permission_request_creator_apiary_unittest.cc,-1,0,0,Completed
chrome/browser/supervised_user/experimental/safe_search_url_reporter.cc,-5,-5,-5,Completed
chrome/browser/supervised_user/experimental/safe_search_url_reporter_unittest.cc,-1,0,0,Completed
chrome/browser/sync/profile_sync_test_util.cc,-2,0,0,Completed
chrome/browser/ui/webui/signin/inline_login_handler_impl.cc,-1,-1,-1,Ongoing
chrome/browser/ui/webui/signin/login_ui_service.cc,-3,-3,-3,Ongoing
chrome/browser/ui/webui/signin/signin_utils_desktop.cc,-1,-1,-1,Ongoing
chrome/test/base/testing_profile.cc,1,0,0,New
components/autofill/core/browser/personal_data_manager.h,1,1,1,New
components/signin/core/browser/account_investigator.cc,-1,-1,-1,Completed
components/signin/core/browser/account_investigator_unittest.cc,1,0,0,Ongoing
components/signin/core/browser/fake_auth_status_provider.h,-1,0,0,Completed
components/signin/ios/browser/profile_oauth2_token_service_ios_delegate.h,-1,-1,-1,Completed
components/signin/ios/browser/profile_oauth2_token_service_ios_delegate_unittest.mm,-1,0,0,Ongoing
ios/chrome/browser/autofill/personal_data_manager_factory.cc,1,1,0,New
ios/chrome/browser/signin/authentication_service_unittest.mm,-1,0,0,Ongoing
ios/chrome/browser/signin/signin_browser_state_info_updater.h,2,2,2,New
ios/chrome/browser/signin/signin_browser_state_info_updater_factory.mm,3,3,0,New
ios/chrome/browser/signin/signin_client_factory.cc,-1,-1,0,Ongoing
ios/chrome/browser/ui/authentication/signed_in_accounts_view_controller.mm,-4,-4,-4,Completed
ios/web_view/internal/signin/ios_web_view_signin_client.h,-1,-1,-1,Ongoing
ios/web_view/internal/signin/web_view_signin_error_controller_factory.mm,1,1,0,Ongoing
ios/web_view/internal/sync/cwv_sync_controller.mm,1,1,1,Ongoing
services/identity/public/cpp/identity_test_environment.cc,-1,0,0,Completed
services/identity/public/cpp/identity_test_environment.h,1,0,0,Completed
total,-66,-18,-24,New
