feature,# inclusions,from prod,from prod non-factory
total,723,433,334
signin,69,43,26
profiles,52,41,40
sync,51,16,12
dice,44,18,18
chrome/browser/ui/webui/signin,39,24,21
settings,30,26,26
webui,28,17,16
chrome/browser/chromeos/login,26,19,15
account_reconcilor,24,14,8
about_signin,23,23,10
supervised_user,22,16,11
signin_ui_util,16,8,8
account_fetcher,16,10,2
chrome/browser/ui,15,6,6
policy,15,4,4
safe_browsing,15,6,4
account_consistency,15,8,6
signin_tracker,14,8,4
chrome/browser/extensions/api/identity,14,11,11
chrome/browser,13,9,9
extensions,12,10,4
signin_global_error,10,3,2
chrome/browser/android/signin,10,10,10
authentication_service,10,4,2
ios/web_view/internal/signin,9,9,2
chrome/test/base,9,0,0
force_signin,8,3,3
signin_promo,8,8,8
ios/chrome/browser/ui/authentication,8,5,5
metrics,8,6,2
autofill,7,3,1
bookmarks,7,1,1
arc/auth,7,5,5
account_investigator,7,2,1
browser_state,7,7,7
signin_error_notifier,7,3,1
browsing_data,7,3,3
chrome/browser/chromeos,6,1,1
components/search_provider_logos,5,1,1
password_manager,5,2,2
signin_status_metrics_provider,5,5,5
search,3,1,1
child_account_info,3,3,3
gaia_cookie_manager,2,2,0
ios/chrome/test/app,2,0,0
chrome/browser/search_provider_logos,1,1,0
ios/chrome/browser/ui/signin_interaction,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/passwords,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
toolbar,1,0,0
chrome/browser/prefs,1,1,1
first_run,1,1,1
