feature,# including files,prod,prod non-factory
total,153,92,62
sync,15,5,3
supervised_user,12,7,5
policy,9,6,4
profiles,7,5,5
ntp_snippets,8,3,1
signin,7,4,3
extensions,6,3,2
webui,4,2,2
chrome/browser/extensions/api/identity,4,3,3
account_fetcher,5,3,0
chrome/browser/chromeos/login,4,3,2
account_reconcilor,3,2,1
signin_tracker,3,2,1
dice,4,2,2
app_list,3,2,2
arc/auth,3,2,2
chrome/browser/chromeos,2,1,1
chrome/browser/ui/webui/signin,2,1,1
invalidation,4,2,1
browsing_data,3,0,0
suggestions,3,2,0
drive,2,2,2
easy_unlock,2,2,2
authentication_service,2,1,1
settings,4,3,3
history,3,2,0
desktop_ios_promotion,2,1,0
signin_global_error,2,1,0
cryptauth,2,2,1
feedback,1,1,1
drive_backend,1,1,1
gcm,2,1,0
autocomplete,1,1,0
about_signin,2,2,1
ios/web_view/internal/signin,2,2,1
proximity_auth,1,1,1
safe_browsing,1,0,0
chrome/browser/android/signin,1,1,1
force_signin,1,1,1
autofill,1,1,1
devtools,1,1,1
access_token_fetcher,1,0,0
ios/chrome/browser/ui/authentication,1,1,1
signin_error_notifier,1,1,0
toolbar,1,0,0
chrome/test/base,1,0,0
profile_identity_provider,1,1,1
gaia_cookie_manager,1,1,0
payments,1,1,1
