feature,# including files,prod,prod non-factory
total,389,265,209
sync,33,17,15
profiles,20,15,14
supervised_user,19,14,10
webui,18,15,14
policy,15,8,6
chrome/browser/chromeos/login,15,11,9
signin,17,12,10
extensions,16,8,6
settings,15,11,11
chrome/browser/ui/webui/signin,10,6,5
ntp_snippets,17,10,6
chrome/browser/extensions/api/identity,4,3,3
account_reconcilor,5,4,2
dice,5,3,3
about_signin,4,4,2
autofill,8,5,3
signin_tracker,4,3,2
safe_browsing,3,1,1
authentication_service,3,2,1
account_fetcher,6,4,1
desktop_ios_promotion,5,3,2
ios/chrome/browser/ui/authentication,5,4,4
suggestions,4,3,1
signin_global_error,4,3,2
browsing_data,3,0,0
history,4,3,1
bookmarks,5,2,2
payments,5,3,3
app_list,3,2,2
chrome/browser/ui,6,4,4
chrome/browser/android/signin,4,4,4
easy_unlock,3,2,2
browser_state,2,2,2
arc/auth,3,2,2
search,6,3,2
invalidation,5,3,1
account_investigator,4,3,2
chrome/browser/chromeos,3,1,1
account_consistency,4,3,2
first_run,4,3,3
autocomplete,2,1,0
gcm,3,2,0
password_manager,5,4,3
ios/web_view/internal/signin,6,6,1
chrome/browser,3,2,2
signin_error_notifier,3,2,1
drive,2,2,2
signin_promo,2,2,2
toolbar,4,2,2
cryptauth,3,3,2
chrome/test/base,1,0,0
signin_status_metrics_provider,5,5,5
drive_backend,2,2,2
access_token_fetcher,2,1,1
signin_ui_util,1,1,1
feedback,1,1,1
ios/chrome/browser/ui,2,1,1
proximity_auth,1,1,1
signin_capability,1,1,1
force_signin,1,1,1
child_account_info,2,2,2
startup,1,1,1
chrome/browser/permissions,1,0,0
cloud_print,1,1,1
ios/chrome/browser/passwords,1,1,1
download,1,0,0
devtools,1,1,1
ios/chrome/app,1,1,1
metrics,1,0,0
profile_identity_provider,2,2,2
gaia_cookie_manager,1,1,0
ios/chrome/test/app,1,0,0
chrome/browser/android,1,1,0
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/prefs,1,1,1
refresh_token_annotation_request,1,1,1
