file,# inclusions
total,1065
components/signin/core/browser/signin_manager.h,200
chrome/browser/signin/signin_manager_factory.h,183
components/signin/core/browser/profile_oauth2_token_service.h,98
chrome/browser/signin/profile_oauth2_token_service_factory.h,95
components/signin/core/browser/account_tracker_service.h,71
components/signin/core/browser/signin_manager_base.h,42
chrome/browser/signin/account_tracker_service_factory.h,42
ios/chrome/browser/signin/signin_manager_factory.h,41
components/signin/core/browser/fake_profile_oauth2_token_service.h,34
components/signin/core/browser/signin_error_controller.h,25
chrome/browser/signin/signin_error_controller_factory.h,25
chrome/browser/signin/chrome_signin_client_factory.h,24
components/signin/core/browser/fake_signin_manager.h,24
chrome/browser/signin/fake_signin_manager_builder.h,23
components/signin/core/browser/test_signin_client.h,22
components/signin/core/browser/gaia_cookie_manager_service.h,20
components/signin/core/browser/signin_client.h,19
chrome/browser/signin/gaia_cookie_manager_service_factory.h,19
chrome/browser/signin/fake_profile_oauth2_token_service_builder.h,16
ios/chrome/browser/signin/account_tracker_service_factory.h,14
ios/chrome/browser/signin/signin_error_controller_factory.h,6
ios/chrome/browser/signin/gaia_cookie_manager_service_factory.h,6
components/signin/core/browser/fake_gaia_cookie_manager_service.h,4
ios/chrome/browser/signin/fake_signin_manager_builder.h,3
ios/chrome/browser/signin/fake_oauth2_token_service_builder.h,2
ios/chrome/browser/signin/ios_chrome_signin_client.h,2
chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,2
components/signin/core/browser/signin_internals_util.h,2
chrome/browser/signin/chrome_signin_client.h,1
