feature,# inclusions,from prod,from prod non-factory
total,245,137,97
sync,20,7,4
supervised_user,19,12,10
policy,17,9,6
profiles,15,9,9
ntp_snippets,10,5,1
signin,10,4,3
extensions,10,5,4
webui,9,4,4
chrome/browser/extensions/api/identity,9,6,6
account_fetcher,7,4,0
chrome/browser/chromeos/login,7,5,4
account_reconcilor,6,2,1
signin_tracker,6,2,1
dice,6,3,3
app_list,6,3,3
arc/auth,6,3,3
chrome/browser/chromeos,5,2,2
chrome/browser/ui/webui/signin,5,2,2
invalidation,5,3,1
browsing_data,5,0,0
suggestions,4,3,0
drive,4,4,4
easy_unlock,4,4,4
authentication_service,4,1,1
settings,4,3,3
history,4,3,0
desktop_ios_promotion,3,2,0
signin_global_error,3,1,0
cryptauth,3,3,2
feedback,2,2,2
drive_backend,2,2,2
gcm,2,1,0
autocomplete,2,2,0
about_signin,2,2,1
ios/web_view/internal/signin,2,2,1
proximity_auth,2,2,2
safe_browsing,2,0,0
chrome/browser/android/signin,2,2,2
force_signin,1,1,1
autofill,1,1,1
devtools,1,1,1
access_token_fetcher,1,0,0
ios/chrome/browser/ui/authentication,1,1,1
signin_error_notifier,1,1,0
toolbar,1,0,0
chrome/test/base,1,0,0
profile_identity_provider,1,1,1
gaia_cookie_manager,1,1,0
payments,1,1,1
