feature,# including files,prod,prod non-factory
total,300,202,160
sync,28,14,12
extensions,16,8,6
webui,14,11,10
settings,13,9,9
supervised_user,13,12,9
profiles,16,12,11
policy,13,7,5
ntp_snippets,16,10,6
chrome/browser/ui/webui/signin,9,5,4
chrome/browser/chromeos/login,8,7,6
autofill,8,6,3
bookmarks,5,2,2
payments,5,3,3
safe_browsing,3,1,1
dice,5,3,3
password_manager,5,4,3
first_run,4,3,3
chrome/browser/extensions/api/identity,3,2,2
chrome/browser/ui,4,2,2
account_reconcilor,4,3,1
gcm,3,2,0
easy_unlock,3,2,2
desktop_ios_promotion,4,2,1
suggestions,4,3,1
toolbar,3,2,2
authentication_service,3,2,1
signin_status_metrics_provider,5,5,5
chrome/browser,3,2,2
history,4,3,1
signin_tracker,3,2,1
about_signin,4,4,2
app_list,2,1,1
invalidation,3,3,1
browsing_data,3,0,0
signin_global_error,2,1,1
signin_promo,2,2,2
drive,2,2,2
ios/chrome/browser/ui/signin_interaction,2,1,1
account_investigator,3,2,1
ios/chrome/browser/ui/authentication,2,2,2
arc/auth,2,1,1
ios/chrome/browser/ui,2,1,1
chrome/browser/chromeos,2,1,1
cryptauth,3,3,2
search,2,1,1
autocomplete,2,1,0
drive_backend,2,2,2
browser_state,2,2,2
signin_error_notifier,1,0,0
account_consistency,3,2,1
chrome/browser/android/signin,2,2,2
feedback,1,1,1
force_signin,1,1,1
startup,1,1,1
cloud_print,1,1,1
ios/chrome/browser/passwords,1,1,1
download,1,0,0
signin,1,0,0
ios/chrome/app,1,1,1
access_token_fetcher,2,1,1
ios/web_view/internal/signin,2,2,1
proximity_auth,1,1,1
metrics,1,0,0
signin_ui_util,1,1,1
chrome/browser/permissions,1,0,0
chrome/test/base,1,0,0
signin_capability,1,1,1
chrome/browser/android,1,1,0
devtools,1,1,1
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/prefs,1,1,1
profile_identity_provider,1,1,1
