feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/apps/drive/drive_service_bridge.cc,-4,-4,-4,Completed
chrome/browser/autocomplete/chrome_autocomplete_provider_client.cc,2,2,2,New
chrome/browser/browsing_data/history_counter_browsertest.cc,-4,0,0,Completed
chrome/browser/browsing_data/sync_aware_counter_browsertest.cc,-4,0,0,Completed
chrome/browser/chromeos/app_mode/startup_app_launcher.cc,-4,-4,-4,Completed
chrome/browser/devtools/device/devtools_android_bridge.cc,-2,-2,-2,Completed
chrome/browser/extensions/api/hotword_private/hotword_private_apitest.cc,-4,0,0,Completed
chrome/browser/history/web_history_service_factory.cc,-2,-2,0,Completed
chrome/browser/ntp_snippets/content_suggestions_service_factory.cc,-4,-4,0,Completed
chrome/browser/ntp_snippets/contextual_content_suggestions_service_factory.cc,-4,-4,0,Completed
chrome/browser/profiles/chrome_browser_main_extra_parts_profiles.cc,1,1,1,Ongoing
chrome/browser/profiles/profile_downloader_unittest.cc,-1,0,0,Ongoing
chrome/browser/search/suggestions/suggestions_service_factory.cc,-4,-4,0,Completed
chrome/browser/search_provider_logos/logo_service_factory.cc,1,1,0,New
chrome/browser/signin/account_reconcilor_unittest.cc,-14,0,0,Completed
chrome/browser/signin/chrome_signin_helper.cc,1,1,1,Completed
chrome/browser/signin/dice_response_handler_unittest.cc,2,0,0,Ongoing
chrome/browser/signin/identity_manager_factory.cc,3,3,0,New
chrome/browser/signin/process_dice_header_delegate_impl.cc,1,1,1,New
chrome/browser/signin/process_dice_header_delegate_impl_unittest.cc,4,0,0,New
chrome/browser/signin/process_dice_header_observer_impl.cc,-2,-2,-2,Completed
chrome/browser/signin/signin_global_error_factory.cc,-1,-1,0,Completed
chrome/browser/signin/signin_manager_unittest.cc,-11,0,0,Completed
chrome/browser/signin/signin_ui_util.cc,4,4,4,Ongoing
chrome/browser/supervised_user/child_accounts/child_account_service_unittest.cc,5,0,0,New
chrome/browser/ui/app_list/speech_auth_helper.cc,-4,-4,-4,Completed
chrome/browser/ui/app_list/speech_auth_helper.h,-1,-1,-1,Completed
chrome/browser/ui/app_list/speech_auth_helper_unittest.cc,-6,0,0,Completed
chrome/browser/ui/search/local_ntp_browsertest.cc,-1,0,0,Completed
chrome/browser/ui/search/local_ntp_one_google_bar_browsertest.cc,1,0,0,New
chrome/browser/ui/signin_view_controller.cc,2,2,2,New
chrome/browser/ui/sync/one_click_signin_sync_starter.cc,3,3,3,Ongoing
chrome/browser/ui/views/profiles/profile_chooser_view.cc,4,4,4,Ongoing
chrome/browser/ui/views/sync/dice_bubble_sync_promo_view.cc,2,2,2,New
chrome/browser/ui/webui/settings/people_handler.cc,2,2,2,Ongoing
chrome/browser/ui/webui/settings/people_handler.h,1,1,1,Ongoing
chrome/browser/ui/webui/signin/dice_turn_sync_on_helper.cc,5,5,5,New
chrome/browser/ui/webui/signin/dice_turn_sync_on_helper_unittest.cc,8,0,0,New
chrome/browser/ui/webui/signin/signin_dice_internals_handler.cc,-3,-3,-3,Completed
chrome/browser/ui/webui/signin/signin_utils_desktop.cc,3,3,3,New
chrome/test/base/chrome_render_view_host_test_harness.cc,2,0,0,Ongoing
components/browsing_data/core/history_notice_utils_unittest.cc,-4,0,0,Completed
components/history/core/browser/web_history_service.cc,-1,-1,-1,Completed
components/history/core/browser/web_history_service_unittest.cc,-4,0,0,Completed
components/ntp_snippets/breaking_news/subscription_manager_impl.cc,-1,-1,-1,Completed
components/ntp_snippets/breaking_news/subscription_manager_impl.h,-1,-1,-1,Completed
components/ntp_snippets/breaking_news/subscription_manager_impl_unittest.cc,-3,0,0,Completed
components/ntp_snippets/content_suggestions_service.h,-1,-1,-1,Completed
components/ntp_snippets/contextual/contextual_suggestions_fetcher_impl_unittest.cc,-2,0,0,Completed
components/ntp_snippets/remote/json_request.cc,-3,-3,-3,Completed
components/ntp_snippets/remote/remote_suggestions_fetcher_impl.cc,-1,-1,-1,Completed
components/ntp_snippets/remote/remote_suggestions_fetcher_impl_unittest.cc,-2,0,0,Completed
components/ntp_snippets/remote/remote_suggestions_provider_impl_unittest.cc,-2,0,0,Completed
components/ntp_snippets/remote/remote_suggestions_status_service_impl.cc,-1,-1,-1,Completed
components/ntp_snippets/remote/remote_suggestions_status_service_impl_unittest.cc,-3,0,0,Completed
components/ntp_snippets/remote/test_utils.cc,-3,0,0,Completed
components/ntp_snippets/remote/test_utils.h,-1,0,0,Completed
components/search_provider_logos/logo_service_impl.cc,1,1,1,New
components/search_provider_logos/logo_service_impl_unittest.cc,4,0,0,New
components/signin/core/browser/access_token_fetcher.h,-1,-1,-1,Completed
components/signin/core/browser/access_token_fetcher_unittest.cc,-4,0,0,Completed
components/signin/core/browser/account_reconcilor_unittest.cc,7,0,0,New
components/signin/core/browser/dice_account_reconcilor_delegate.cc,1,1,1,New
components/signin/core/browser/dice_account_reconcilor_delegate_unittest.cc,1,0,0,New
components/signin/core/browser/refresh_token_annotation_request.cc,-1,-1,-1,Completed
components/signin/ios/browser/ios_signin_client.h,-2,-2,-2,Completed
components/signin/ios/browser/profile_oauth2_token_service_ios_delegate_unittest.mm,1,0,0,Ongoing
components/suggestions/suggestions_service_impl.cc,-1,-1,-1,Completed
components/suggestions/suggestions_service_impl_unittest.cc,-4,0,0,Completed
ios/chrome/browser/autocomplete/autocomplete_provider_client_impl.cc,2,2,2,New
ios/chrome/browser/history/web_history_service_factory.cc,-1,-1,0,Completed
ios/chrome/browser/ntp_snippets/ios_chrome_content_suggestions_service_factory.cc,-1,-1,0,Completed
ios/chrome/browser/ntp_snippets/ios_chrome_content_suggestions_service_factory_util.cc,-2,-2,0,Completed
ios/chrome/browser/signin/authentication_service.mm,-2,-2,-2,Ongoing
ios/chrome/browser/signin/authentication_service_fake.mm,2,0,0,New
ios/chrome/browser/signin/identity_manager_factory.cc,2,2,0,New
ios/chrome/browser/signin/identity_service_creator.cc,3,3,3,New
ios/chrome/browser/signin/signin_capability.cc,-4,-4,-4,Completed
ios/chrome/browser/suggestions/suggestions_service_factory.mm,-3,-3,0,Completed
ios/web_view/internal/autofill/cwv_autofill_controller.mm,1,1,1,New
ios/web_view/internal/signin/ios_web_view_signin_client.h,2,2,2,New
ios/web_view/internal/signin/web_view_identity_manager_factory.mm,1,1,0,New
services/identity/identity_manager.cc,-1,-1,-1,Completed
services/identity/identity_manager.h,-2,-2,-2,Completed
services/identity/identity_manager_impl.cc,1,1,1,New
services/identity/identity_manager_impl.h,2,2,2,New
services/identity/identity_manager_impl_unittest.cc,4,0,0,New
services/identity/identity_manager_unittest.cc,-4,0,0,Completed
services/identity/public/cpp/identity_manager.h,3,3,3,New
services/identity/public/cpp/identity_manager_unittest.cc,4,0,0,New
services/identity/public/cpp/identity_test_environment.cc,4,0,0,New
services/identity/public/cpp/identity_test_utils.cc,2,0,0,New
services/identity/public/cpp/primary_account_access_token_fetcher.h,1,1,1,New
services/identity/public/cpp/primary_account_access_token_fetcher_unittest.cc,4,0,0,New
total,-36,-10,5,New
