feature,# inclusions,from prod,from prod non-factory
total,217,125,93
sync,22,9,6
supervised_user,19,12,10
policy,17,9,6
profiles,15,9,9
dice,11,4,4
chrome/browser/chromeos/login,10,5,4
webui,9,4,4
chrome/browser/extensions/api/identity,9,6,6
extensions,8,5,4
account_fetcher,7,4,0
signin,7,5,3
signin_tracker,6,2,1
arc/auth,6,3,3
chrome/browser/ui/webui/signin,5,2,2
invalidation,5,3,1
account_reconcilor,4,2,1
easy_unlock,4,4,4
authentication_service,4,1,1
settings,4,3,3
chrome/browser/chromeos,3,0,0
desktop_ios_promotion,3,2,0
cryptauth,3,3,2
drive_backend,2,2,2
gcm,2,1,0
drive,2,2,2
feedback,2,2,2
autocomplete,2,2,0
about_signin,2,2,1
signin_ui_util,2,2,2
ios/web_view/internal/signin,2,2,1
proximity_auth,2,2,2
signin_global_error,2,0,0
safe_browsing,2,0,0
chrome/browser/android/signin,2,2,2
history,2,2,0
force_signin,1,1,1
components/search_provider_logos,1,0,0
autofill,1,1,1
ios/chrome/browser/ui/authentication,1,1,1
signin_error_notifier,1,1,0
toolbar,1,0,0
chrome/test/base,1,0,0
profile_identity_provider,1,1,1
gaia_cookie_manager,1,1,0
payments,1,1,1
