file,# inclusions
chrome/browser/chromeos/login/existing_user_controller.cc,1
chrome/browser/chromeos/login/kiosk_browsertest.cc,2
chrome/browser/chromeos/login/lock/screen_locker.cc,2
chrome/browser/chromeos/login/session/chrome_session_manager.cc,2
chrome/browser/chromeos/login/session/user_session_manager.cc,6
chrome/browser/chromeos/login/signin/auth_sync_observer.cc,3
chrome/browser/chromeos/login/signin/auth_sync_observer.h,1
chrome/browser/chromeos/login/signin/auth_sync_observer_factory.cc,1
chrome/browser/chromeos/login/signin/device_id_browsertest.cc,1
chrome/browser/chromeos/login/signin/oauth2_browsertest.cc,5
chrome/browser/chromeos/login/signin/oauth2_login_manager.cc,7
chrome/browser/chromeos/login/signin/oauth2_login_manager_factory.cc,3
chrome/browser/chromeos/login/signin/oauth2_login_verifier.h,1
chrome/browser/chromeos/login/signin/token_handle_fetcher.cc,4
chrome/browser/chromeos/login/supervised/supervised_user_test_base.cc,3
chrome/browser/chromeos/login/users/avatar/user_image_manager_browsertest.cc,1
total,43
