feature,# inclusions,from prod,from prod non-factory
total,1019,640,515
sync,84,36,27
profiles,70,51,50
supervised_user,57,43,37
webui,45,32,31
chrome/browser/chromeos/login,43,31,27
policy,41,18,12
settings,41,29,29
dice,40,16,16
chrome/browser/ui/webui/signin,40,24,23
signin,37,28,18
extensions,36,20,16
chrome/browser/extensions/api/identity,28,17,17
autofill,25,15,7
account_reconcilor,21,13,7
about_signin,21,21,10
signin_tracker,16,7,4
safe_browsing,16,4,4
authentication_service,16,5,3
account_fetcher,15,9,2
desktop_ios_promotion,13,6,2
chrome/browser/ui,13,7,7
autocomplete,12,8,4
bookmarks,11,4,4
payments,11,7,7
ios/web_view/internal/signin,11,11,5
signin_global_error,11,4,3
chrome/browser/android/signin,11,11,11
easy_unlock,10,8,8
browser_state,10,10,10
arc/auth,10,5,5
invalidation,10,8,2
search,10,4,3
account_investigator,9,5,2
ios/chrome/browser/ui/authentication,9,9,9
signin_ui_util,9,9,9
account_consistency,9,5,3
first_run,9,7,7
gcm,8,5,0
password_manager,8,6,5
chrome/browser,8,4,4
signin_error_notifier,8,3,1
chrome/test/base,8,0,0
signin_promo,7,7,7
cryptauth,7,7,5
toolbar,7,4,4
signin_status_metrics_provider,6,6,6
drive_backend,5,5,5
components/search_provider_logos,5,1,1
chrome/browser/chromeos,5,0,0
feedback,4,4,4
drive,4,4,4
ios/chrome/browser/ui/signin_interaction,4,2,2
ios/chrome/browser/ui,4,2,2
proximity_auth,4,4,4
history,4,4,0
force_signin,3,3,3
child_account_info,3,3,3
startup,2,2,2
cloud_print,2,2,2
ios/chrome/browser/passwords,2,2,2
download,2,0,0
ios/chrome/app,2,2,2
metrics,2,0,0
chrome/browser/permissions,2,0,0
profile_identity_provider,2,2,2
gaia_cookie_manager,2,2,0
ios/chrome/test/app,2,0,0
chrome/browser/android,2,2,0
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/search_provider_logos,1,1,0
