file,# inclusions
total,1019
components/signin/core/browser/signin_manager.h,191
chrome/browser/signin/signin_manager_factory.h,175
chrome/browser/signin/profile_oauth2_token_service_factory.h,87
components/signin/core/browser/profile_oauth2_token_service.h,87
components/signin/core/browser/account_tracker_service.h,73
chrome/browser/signin/account_tracker_service_factory.h,45
ios/chrome/browser/signin/signin_manager_factory.h,39
components/signin/core/browser/signin_manager_base.h,36
components/signin/core/browser/signin_error_controller.h,27
chrome/browser/signin/signin_error_controller_factory.h,26
components/signin/core/browser/fake_profile_oauth2_token_service.h,26
chrome/browser/signin/chrome_signin_client_factory.h,24
components/signin/core/browser/gaia_cookie_manager_service.h,23
chrome/browser/signin/fake_signin_manager_builder.h,23
chrome/browser/signin/gaia_cookie_manager_service_factory.h,21
components/signin/core/browser/signin_client.h,19
components/signin/core/browser/test_signin_client.h,19
components/signin/core/browser/fake_signin_manager.h,17
ios/chrome/browser/signin/account_tracker_service_factory.h,15
chrome/browser/signin/fake_profile_oauth2_token_service_builder.h,15
components/signin/core/browser/fake_gaia_cookie_manager_service.h,7
ios/chrome/browser/signin/gaia_cookie_manager_service_factory.h,6
ios/chrome/browser/signin/signin_error_controller_factory.h,5
ios/chrome/browser/signin/fake_signin_manager_builder.h,3
chrome/browser/signin/chrome_signin_client.h,2
ios/chrome/browser/signin/fake_oauth2_token_service_builder.h,2
ios/chrome/browser/signin/ios_chrome_signin_client.h,2
chrome/browser/signin/fake_gaia_cookie_manager_service_builder.h,2
components/signin/core/browser/signin_internals_util.h,2
