feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/android/contextualsearch/contextual_search_delegate.cc,-1,-1,-1,Completed
chrome/browser/android/profiles/profile_downloader_android.cc,-2,-2,-2,Completed
chrome/browser/android/signin/signin_investigator_android.cc,-2,-2,-2,Completed
chrome/browser/browser_process_impl.cc,-1,-1,-1,Completed
chrome/browser/chrome_browser_main.cc,-1,-1,-1,Completed
chrome/browser/chrome_content_browser_client.cc,-2,-2,-2,Completed
chrome/browser/chromeos/account_manager/account_manager_migrator.cc,-2,-2,-2,Completed
chrome/browser/chromeos/arc/arc_session_manager_browsertest.cc,-2,0,0,Completed
chrome/browser/chromeos/login/signin/oauth2_browsertest.cc,-1,0,0,Completed
chrome/browser/chromeos/login/signin/oauth2_login_verifier.h,-1,-1,-1,Completed
chrome/browser/extensions/api/identity/identity_apitest.cc,2,0,0,Completed
chrome/browser/extensions/api/identity/identity_get_auth_token_function.cc,-4,-4,-4,Completed
chrome/browser/password_manager/password_store_signin_notifier_impl_unittest.cc,1,0,0,Ongoing
chrome/browser/policy/cloud/user_policy_signin_service_unittest.cc,-3,0,0,Completed
chrome/browser/printing/print_dialog_cloud.cc,-1,-1,-1,Completed
chrome/browser/profiles/avatar_menu.cc,-1,-1,-1,Completed
chrome/browser/profiles/gaia_info_update_service.cc,-1,-1,-1,Completed
chrome/browser/profiles/host_zoom_map_browsertest.cc,-1,0,0,Completed
chrome/browser/profiles/profile_downloader_unittest.cc,-2,0,0,Completed
chrome/browser/profiles/profile_info_cache.cc,-1,-1,-1,Completed
chrome/browser/profiles/profile_info_cache_unittest.cc,-1,0,0,Completed
chrome/browser/profiles/profile_io_data.cc,-1,-1,-1,Completed
chrome/browser/profiles/profile_io_data.h,-1,-1,-1,Completed
chrome/browser/profiles/profile_list_desktop.cc,-1,-1,-1,Completed
chrome/browser/profiles/profile_list_desktop_unittest.cc,-1,0,0,Completed
chrome/browser/profiles/profile_manager_unittest.cc,-1,0,0,Completed
chrome/browser/profiles/profile_window.cc,-2,-2,-2,Completed
chrome/browser/profiles/profile_window_browsertest.cc,-1,0,0,Ongoing
chrome/browser/profiles/renderer_updater_factory.cc,-1,-1,0,Completed
chrome/browser/safe_browsing/chrome_password_protection_service_browsertest.cc,-4,0,0,Completed
chrome/browser/safe_browsing/chrome_password_protection_service_unittest.cc,-2,0,0,Completed
chrome/browser/search/search_suggest/search_suggest_service_unittest.cc,-1,0,0,Completed
chrome/browser/signin/account_consistency_mode_manager.h,-1,-1,-1,Completed
chrome/browser/signin/account_consistency_mode_manager_unittest.cc,-1,0,0,Completed
chrome/browser/signin/account_reconcilor_factory.cc,-1,-1,0,Completed
chrome/browser/signin/chrome_signin_helper.cc,-1,-1,-1,Completed
chrome/browser/signin/chrome_signin_helper_unittest.cc,-1,0,0,Completed
chrome/browser/signin/dice_browsertest.cc,-1,0,0,Completed
chrome/browser/signin/dice_response_handler.h,-1,-1,-1,Completed
chrome/browser/signin/dice_response_handler_unittest.cc,-1,0,0,Ongoing
chrome/browser/signin/dice_tab_helper.cc,-1,-1,-1,Completed
chrome/browser/signin/process_dice_header_delegate_impl.h,-1,-1,-1,Completed
chrome/browser/signin/process_dice_header_delegate_impl_unittest.cc,-1,0,0,Completed
chrome/browser/signin/scoped_account_consistency.h,-1,-1,-1,Completed
chrome/browser/signin/signin_error_controller_factory.cc,-1,-1,0,Completed
chrome/browser/signin/signin_global_error.cc,-1,-1,-1,Completed
chrome/browser/signin/signin_global_error_unittest.cc,-1,0,0,Completed
chrome/browser/signin/signin_profile_attributes_updater_factory.cc,-1,-1,0,Completed
chrome/browser/signin/signin_profile_attributes_updater_unittest.cc,-8,0,0,Completed
chrome/browser/signin/signin_promo.cc,-3,-3,-3,Completed
chrome/browser/signin/signin_ui_util_unittest.cc,-8,0,0,Completed
chrome/browser/signin/signin_util_win.cc,-1,-1,-1,Ongoing
chrome/browser/supervised_user/child_accounts/child_account_service_factory.cc,-2,-2,0,Completed
chrome/browser/supervised_user/child_accounts/child_account_service_unittest.cc,-1,0,0,Completed
chrome/browser/sync/test/integration/secondary_account_helper.cc,-1,0,0,Completed
chrome/browser/ui/browser_command_controller_browsertest.cc,-1,0,0,Completed
chrome/browser/ui/browser_command_controller_unittest.cc,-1,0,0,Completed
chrome/browser/ui/cocoa/profiles/profile_menu_controller.mm,-1,-1,-1,Completed
chrome/browser/ui/signin_view_controller.cc,-2,-2,-2,Completed
chrome/browser/ui/sync/sync_promo_ui_unittest.cc,-2,0,0,Completed
chrome/browser/ui/views/autofill/local_card_migration_browsertest.cc,7,0,0,New
chrome/browser/ui/views/autofill/save_card_bubble_views_browsertest.cc,1,0,0,New
chrome/browser/ui/views/autofill/save_card_bubble_views_browsertest_base.cc,-3,0,0,Completed
chrome/browser/ui/views/bookmarks/bookmark_bubble_sign_in_delegate_browsertest.cc,-1,0,0,Completed
chrome/browser/ui/views/bookmarks/bookmark_bubble_view.cc,-1,-1,-1,Completed
chrome/browser/ui/views/frame/browser_view.cc,-1,-1,-1,Completed
chrome/browser/ui/views/frame/test_with_browser_view.cc,-1,0,0,Completed
chrome/browser/ui/views/profiles/avatar_toolbar_button.cc,-1,-1,-1,Completed
chrome/browser/ui/views/profiles/avatar_toolbar_button.h,-1,-1,-1,Completed
chrome/browser/ui/views/sync/dice_bubble_sync_promo_view.cc,-2,-2,-2,Completed
chrome/browser/ui/views/sync/inline_login_ui_browsertest.cc,-1,0,0,Completed
chrome/browser/ui/views/sync/profile_signin_confirmation_dialog_views.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/chrome_web_ui_controller_factory.cc,-1,-1,0,Completed
chrome/browser/ui/webui/local_discovery/local_discovery_ui_browsertest.cc,-1,0,0,Completed
chrome/browser/ui/webui/print_preview/print_preview_handler.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/settings/chromeos/account_manager_handler.h,-1,-1,-1,Completed
chrome/browser/ui/webui/settings/people_handler.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/settings/settings_manage_profile_handler.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/dice_turn_sync_on_helper.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/inline_login_handler_impl.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/signin/inline_login_ui.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/login_ui_service.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/signin_create_profile_handler_unittest.cc,-2,0,0,Completed
chrome/browser/ui/webui/signin/sync_confirmation_handler_unittest.cc,-4,0,0,Completed
