file,# inclusions
chrome/browser/signin/chrome_device_id_helper.cc,1
chrome/browser/signin/chrome_signin_helper.cc,2
chrome/browser/signin/identity_manager_factory.cc,5
chrome/browser/signin/identity_services_provider_android.cc,3
chrome/browser/signin/identity_test_environment_profile_adaptor.cc,7
chrome/browser/signin/signin_profile_attributes_updater_unittest.cc,1
chrome/browser/signin/signin_util_win.cc,3
chrome/browser/signin/signin_util_win_browsertest.cc,3
chrome/browser/signin/test_signin_client_builder.cc,1
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate.cc,1
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate.h,2
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate_unittest.cc,4
components/signin/core/browser/oauth2_token_service_delegate_android.h,2
components/signin/ios/browser/merge_session_observer_bridge.h,1
components/signin/ios/browser/profile_oauth2_token_service_ios_delegate.mm,2
components/signin/ios/browser/profile_oauth2_token_service_ios_delegate_unittest.mm,3
ios/chrome/browser/signin/identity_manager_factory.cc,5
ios/chrome/browser/signin/identity_service_creator.cc,4
ios/chrome/browser/signin/identity_test_environment_chrome_browser_state_adaptor.cc,6
ios/chrome/browser/signin/signin_browser_state_info_updater_unittest.mm,7
ios/chrome/browser/signin/signin_client_factory.cc,1
total,64
