feature,# including files,prod,prod non-factory
total,127,82,56
signin,21,13,10
profiles,8,5,5
account_reconcilor,8,6,4
sync,9,4,2
about_signin,4,4,2
supervised_user,6,5,3
autofill,6,4,1
dice,5,2,2
safe_browsing,5,2,1
account_consistency,4,3,2
browser_state,2,2,2
chrome/browser/chromeos/login,4,3,2
chrome/browser/ui/webui/signin,4,3,3
authentication_service,4,2,1
chrome/browser/extensions/api/identity,2,1,1
policy,1,0,0
ios/web_view/internal/signin,6,6,2
chrome/browser/chromeos,4,2,2
signin_status_metrics_provider,4,4,4
chrome/browser/ui,2,0,0
arc/auth,3,2,2
password_manager,1,0,0
webui,1,0,0
bookmarks,1,0,0
chrome/browser/android/signin,1,1,1
settings,2,2,2
account_fetcher,1,1,0
gaia_cookie_manager,1,1,0
ios/chrome/browser/prefs,1,1,1
metrics,1,1,0
toolbar,1,0,0
search,1,0,0
chrome/test/base,1,0,0
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
