feature,# inclusions,from prod,from prod non-factory
total,281,147,102
signin,64,32,21
profiles,22,16,16
account_reconcilor,16,8,5
sync,15,4,2
about_signin,13,13,6
supervised_user,12,8,5
autofill,12,4,1
dice,12,3,3
safe_browsing,12,3,2
account_consistency,9,3,2
browser_state,9,9,9
chrome/browser/chromeos/login,9,8,5
chrome/browser/ui/webui/signin,8,4,4
authentication_service,7,2,1
chrome/browser/extensions/api/identity,6,1,1
policy,6,0,0
ios/web_view/internal/signin,6,6,2
chrome/browser/chromeos,6,3,3
signin_status_metrics_provider,5,5,5
chrome/browser/ui,5,0,0
arc/auth,4,3,3
password_manager,4,0,0
webui,2,0,0
bookmarks,2,0,0
chrome/browser/android/signin,2,2,2
settings,2,2,2
account_fetcher,2,2,0
gaia_cookie_manager,2,2,0
ios/chrome/browser/prefs,1,1,1
metrics,1,1,0
toolbar,1,0,0
search,1,0,0
chrome/test/base,1,0,0
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
