feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/android/signin/signin_manager_android.cc,-4,-4,-4,Completed
chrome/browser/app_controller_mac.mm,-2,-2,-2,Completed
chrome/browser/app_controller_mac_unittest.mm,-2,0,0,Completed
chrome/browser/chrome_browser_main_android.cc,-2,-2,-2,Completed
chrome/browser/chromeos/arc/auth/arc_auth_service_browsertest.cc,-1,0,0,Ongoing
chrome/browser/chromeos/arc/policy/arc_android_management_checker.cc,-2,-2,-2,Completed
chrome/browser/chromeos/first_run/first_run.cc,-1,-1,-1,Completed
chrome/browser/chromeos/login/screens/sync_consent_screen.cc,-2,-2,-2,Completed
chrome/browser/chromeos/login/signin/oauth2_browsertest.cc,-1,0,0,Ongoing
chrome/browser/chromeos/login/users/avatar/user_image_manager_browsertest.cc,-2,0,0,Completed
chrome/browser/chromeos/policy/android_management_client_unittest.cc,-1,0,0,Completed
chrome/browser/extensions/api/enterprise_platform_keys_private/enterprise_platform_keys_private_api.cc,-2,-2,-2,Completed
chrome/browser/extensions/api/identity/identity_api.cc,-1,-1,-1,Completed
chrome/browser/extensions/api/identity/identity_api.h,-1,-1,-1,Completed
chrome/browser/extensions/api/identity/identity_apitest.cc,-1,0,0,Ongoing
chrome/browser/password_manager/password_store_signin_notifier_impl.cc,-1,-1,-1,Completed
chrome/browser/password_manager/password_store_signin_notifier_impl.h,-1,-1,-1,Completed
chrome/browser/profiles/gaia_info_update_service.cc,-1,-1,-1,Completed
chrome/browser/profiles/gaia_info_update_service_unittest.cc,-1,0,0,Completed
chrome/browser/safe_browsing/advanced_protection_status_manager.cc,-1,-1,-1,Completed
chrome/browser/safe_browsing/advanced_protection_status_manager.h,-1,-1,-1,Completed
chrome/browser/safe_browsing/advanced_protection_status_manager_factory.cc,-1,-1,0,Ongoing
chrome/browser/search/one_google_bar/one_google_bar_service_unittest.cc,-2,0,0,Completed
chrome/browser/search/search_suggest/search_suggest_service_unittest.cc,2,0,0,New
chrome/browser/signin/account_reconcilor_factory.cc,-1,-1,0,Completed
chrome/browser/signin/dice_browsertest.cc,-2,0,0,Completed
chrome/browser/signin/dice_response_handler.cc,-4,-4,-4,Completed
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate.cc,-1,-1,-1,Completed
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate.h,-3,-3,-3,Completed
chrome/browser/signin/mutable_profile_oauth2_token_service_delegate_unittest.cc,-5,0,0,Completed
chrome/browser/signin/signin_ui_util.cc,-3,-3,-3,Completed
chrome/browser/signin/signin_util_win.cc,1,1,1,Ongoing
chrome/browser/signin/signin_util_win_browsertest.cc,3,0,0,New
chrome/browser/supervised_user/child_accounts/child_account_service.cc,-1,-1,-1,Completed
chrome/browser/supervised_user/child_accounts/child_account_service.h,-1,-1,-1,Completed
chrome/browser/sync/profile_sync_service_factory.cc,-1,-1,0,Completed
chrome/browser/sync/test/integration/secondary_account_helper.cc,-2,0,0,Completed
chrome/browser/ui/views/profiles/profile_chooser_view.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/media_router/media_router_webui_message_handler.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/settings/people_handler.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/settings/people_handler.h,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/dice_turn_sync_on_helper.cc,-4,-4,-4,Completed
chrome/browser/ui/webui/signin/inline_login_handler_impl.cc,-2,-2,-2,Ongoing
chrome/browser/ui/webui/signin/login_ui_service_factory.cc,-3,-3,0,Completed
chrome/browser/ui/webui/signin/signin_utils_desktop.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/signin/sync_confirmation_handler.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/signin/sync_confirmation_handler.h,-1,-1,-1,Completed
components/browser_sync/profile_sync_service.h,-1,-1,-1,Completed
components/signin/core/browser/account_reconcilor.cc,-1,-1,-1,Completed
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate.cc,1,1,1,New
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate.h,3,3,3,New
components/signin/core/browser/mutable_profile_oauth2_token_service_delegate_unittest.cc,5,0,0,New
ios/chrome/browser/signin/account_reconcilor_factory.cc,-1,-1,0,Completed
ios/chrome/browser/signin/signin_browser_state_info_updater.h,-1,-1,-1,Completed
ios/chrome/browser/signin/signin_browser_state_info_updater_factory.mm,-2,-2,0,Completed
ios/chrome/browser/sync/device_info_sync_service_factory.mm,1,1,0,New
ios/chrome/browser/sync/profile_sync_service_factory.cc,-1,-1,0,Completed
ios/chrome/browser/ui/authentication/authentication_flow_performer.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/authentication/chrome_signin_view_controller_unittest.mm,-2,0,0,Completed
ios/web_view/internal/app/application_context.mm,-1,-1,-1,Completed
ios/web_view/internal/sync/cwv_sync_controller.mm,-1,-1,-1,Completed
ios/web_view/internal/sync/web_view_device_info_sync_service_factory.mm,1,1,0,New
ios/web_view/internal/sync/web_view_profile_sync_service_factory.mm,-1,-1,0,Completed
services/identity/public/cpp/accounts_mutator_impl.cc,1,1,1,Completed
total,-73,-61,-52,New
