feature,# including files,prod,prod non-factory
total,68,42,34
signin,13,8,6
profiles,9,8,8
safe_browsing,5,2,1
chrome/browser/chromeos,4,2,2
chrome/browser/ui/webui/signin,3,2,2
arc/auth,3,2,2
authentication_service,4,2,1
dice,2,1,1
chrome/browser/extensions/api/identity,2,1,1
about_signin,3,3,1
settings,3,3,3
chrome/browser/chromeos/login,2,1,1
signin_promo,1,1,1
ios/chrome/browser/ui/authentication,1,1,1
policy,1,0,0
chrome/browser/android/signin,1,1,1
account_reconcilor,1,0,0
supervised_user,1,1,0
autofill,1,0,0
password_manager,1,0,0
signin_ui_util,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
sync,1,0,0
browser_state,1,1,1
search,1,0,0
chrome/browser/ui,1,1,1
