feature,# inclusions,from prod,from prod non-factory
total,90,56,48
signin,16,9,7
profiles,12,10,10
safe_browsing,9,3,2
chrome/browser/chromeos,6,3,3
chrome/browser/ui/webui/signin,5,4,4
arc/auth,4,3,3
authentication_service,4,2,1
dice,3,2,2
chrome/browser/extensions/api/identity,3,2,2
about_signin,3,3,1
settings,3,3,3
chrome/browser/chromeos/login,3,2,2
signin_promo,2,2,2
ios/chrome/browser/ui/authentication,2,2,2
policy,2,0,0
chrome/browser/android/signin,2,2,2
account_reconcilor,1,0,0
supervised_user,1,1,0
autofill,1,0,0
password_manager,1,0,0
signin_ui_util,1,0,0
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
sync,1,0,0
browser_state,1,1,1
search,1,0,0
chrome/browser/ui,1,1,1
