feature,# including files,prod,prod non-factory
total,198,134,103
signin,27,17,12
profiles,24,17,16
dice,11,7,7
account_reconcilor,9,7,5
sync,12,5,3
chrome/browser/ui/webui/signin,10,7,7
safe_browsing,5,2,1
supervised_user,7,6,3
about_signin,4,4,2
account_consistency,7,5,4
chrome/browser/ui,7,2,2
chrome/browser/chromeos/login,5,4,3
chrome/browser/chromeos,5,2,2
authentication_service,4,2,1
webui,5,4,3
policy,1,0,0
browser_state,2,2,2
chrome/browser/extensions/api/identity,3,2,2
signin_ui_util,1,0,0
autofill,5,4,1
ios/web_view/internal/signin,6,6,2
settings,5,5,5
signin_status_metrics_provider,4,4,4
arc/auth,3,2,2
bookmarks,3,1,1
ios/chrome/browser/ui/authentication,2,1,1
chrome/browser,3,3,3
chrome/browser/android/signin,2,2,2
signin_promo,1,1,1
password_manager,1,0,0
search,2,1,1
signin_global_error,2,1,1
account_fetcher,1,1,0
gaia_cookie_manager,1,1,0
ios/chrome/browser/ui/signin_interaction,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
metrics,1,1,0
toolbar,1,0,0
chrome/test/base,1,0,0
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
